EN          DATA        ERR-S       ERR-1       ERR-2       
EV          NO-DIM      PER-CENT    PER-CENT    PER-CENT    
201000      1.033       .9          3.1         3.1         
203000      1.069       .9          2.9         3.1         
205000      1.118       .9          2.8         3.1         
208000      1.139       .9          2.8         3.2         
210000      1.139       .9          2.8         3.1         
213000      1.129       .9          2.8         3.1         
215000      1.122       .8          2.7         3           
218000      1.121       .8          2.6         2.9         
220000      1.132       .8          2.7         3           
223000      1.148       .8          2.6         2.9         
225000      1.155       .9          2.6         3           
228000      1.149       .8          2.4         2.8         
230000      1.146       .8          2.4         2.7         
233000      1.158       .8          2.4         2.8         
236000      1.17        .8          2.4         2.8         
239000      1.169       .8          2.3         2.7         
241000      1.158       .8          2.3         2.6         
244000      1.145       .8          2.2         2.6         
247000      1.14        .8          2.3         2.6         
250000      1.151       .8          2.2         2.5         
253000      1.169       .8          2.1         2.5         
256000      1.183       .8          2           2.4         
259000      1.187       .8          2           2.4         
262000      1.188       .7          1.9         2.3         
265000      1.19        .7          1.8         2.2         
268000      1.195       .7          1.8         2.2         
271000      1.209       .7          1.7         2.1         
274000      1.242       .7          1.8         2.1         
277000      1.277       .8          1.9         2.5         
280000      1.281       .8          1.8         2.4         
284000      1.257       .7          1.8         2.2         
287000      1.238       .7          1.7         2.1         
290000      1.247       .7          1.7         2.1         
293000      1.266       .7          1.6         2.1         
297000      1.271       .7          1.5         2           
300000      1.256       .7          1.5         1.9         
304000      1.231       .7          1.5         1.9         
307000      1.217       .7          1.4         1.8         
311000      1.22        .7          1.4         1.7         
314000      1.236       .7          1.4         1.8         
318000      1.249       .7          1.5         1.9         
322000      1.252       .7          1.5         1.9         
326000      1.251       .7          1.4         1.8         
329000      1.257       .7          1.4         1.8         
333000      1.268       .7          1.3         1.7         
337000      1.273       .6          1.3         1.6         
341000      1.27        .6          1.3         1.6         
345000      1.264       .6          1.2         1.6         
349000      1.254       .6          1.2         1.6         
353000      1.25        .6          1.2         1.5         
357000      1.264       .6          1.2         1.5         
361000      1.281       .7          1.2         1.6         
365000      1.278       .6          1.2         1.6         
369000      1.261       .6          1.1         1.5         
374000      1.251       .6          1.1         1.4         
378000      1.257       .6          1.1         1.4         
382000      1.272       .6          1.1         1.4         
387000      1.284       .6          1.1         1.5         
391000      1.287       .6          1.1         1.5         
396000      1.281       .6          1.1         1.4         
400000      1.273       .5          1           1.4         
405000      1.274       .5          1           1.4         
410000      1.286       .5          1           1.4         
415000      1.295       .5          1           1.4         
419000      1.294       .5          1           1.4         
