EN          DATA        ERR-S       ERR-1       ERR-2       
424000      1.292       .5          1           1.4         
429000      1.3         .5          1           1.4         
434000      1.315       .5          1           1.4         
439000      1.33        .5          1           1.4         
444000      1.337       .5          .9          1.3         
449000      1.338       .5          .9          1.3         
455000      1.34        .5          .9          1.2         
460000      1.344       .5          .8          1.2         
465000      1.349       .4          .8          1.2         
470000      1.352       .5          .8          1.2         
476000      1.353       .4          .8          1.2         
481000      1.358       .4          .8          1.2         
487000      1.367       .4          .8          1.2         
493000      1.375       .4          .8          1.1         
498000      1.38        .4          .7          1.1         
504000      1.383       .4          .7          1.1         
510000      1.39        .4          .7          1.1         
516000      1.398       .4          .7          1.1         
522000      1.399       .4          .7          1.1         
528000      1.389       .4          .7          1           
534000      1.381       .4          .7          1           
540000      1.383       .4          .7          1           
546000      1.388       .4          .7          1           
553000      1.387       .4          .6          1           
559000      1.383       .4          .6          1           
566000      1.386       .4          .6          .9          
572000      1.394       .4          .6          .9          
579000      1.399       .4          .6          1           
586000      1.401       .4          .6          .9          
592000      1.404       .4          .6          .9          
599000      1.413       .4          .6          .9          
606000      1.428       .4          .6          .9          
613000      1.449       .4          .6          .9          
620000      1.439       .4          .6          .9          
627000      1.443       .4          .5          .8          
635000      1.431       .4          .5          .8          
642000      1.421       .4          .5          .8          
649000      1.45        .4          .5          .8          
657000      1.445       .4          .5          .8          
665000      1.452       .4          .5          .8          
672000      1.457       .4          .5          .8          
680000      1.451       .4          .5          .8          
688000      1.449       .4          .5          .8          
696000      1.458       .4          .5          .8          
704000      1.461       .4          .5          .7          
712000      1.473       .4          .5          .8          
720000      1.469       .4          .5          .8          
729000      1.469       .4          .5          .8          
737000      1.485       .4          .4          .7          
746000      1.497       .4          .5          .7          
754000      1.513       .4          .5          .8          
763000      1.508       .4          .4          .7          
772000      1.51        .4          .4          .7          
781000      1.51        .4          .4          .7          
790000      1.525       .4          .4          .7          
799000      1.534       .3          .4          .7          
808000      1.519       .3          .4          .7          
818000      1.519       .3          .4          .7          
827000      1.531       .3          .4          .7          
837000      1.517       .3          .4          .7          
846000      1.52        .3          .4          .7          
856000      1.498       .3          .4          .7          
866000      1.492       .3          .4          .7          
876000      1.487       .3          .4          .6          
886000      1.486       .3          .4          .6          
896000      1.466       .3          .4          .6          
907000      1.453       .3          .4          .6          
917000      1.448       .3          .4          .6          
928000      1.428       .3          .4          .6          
939000      1.434       .3          .4          .6          
950000      1.431       .3          .4          .6          
961000      1.439       .3          .4          .6          
972000      1.424       .3          .4          .6          
983000      1.426       .3          .4          .6          
994000      1.431       .3          .4          .6          
1010000     1.425       .3          .4          .6          
1020000     1.429       .3          .4          .6          
1030000     1.441       .3          .4          .6          
1040000     1.438       .3          .4          .6          
1050000     1.446       .3          .3          .6          
1070000     1.456       .3          .3          .6          
1080000     1.457       .3          .3          .6          
1090000     1.451       .3          .3          .5          
1100000     1.462       .3          .3          .5          
1120000     1.47        .3          .3          .6          
1130000     1.455       .3          .3          .5          
1140000     1.474       .3          .3          .5          
1160000     1.476       .3          .3          .5          
1170000     1.479       .3          .3          .5          
1180000     1.492       .3          .3          .5          
1200000     1.492       .3          .3          .5          
1210000     1.517       .3          .3          .5          
1220000     1.518       .3          .3          .5          
1240000     1.514       .3          .3          .5          
1250000     1.521       .3          .3          .5          
1270000     1.527       .3          .3          .5          
1280000     1.534       .3          .3          .5          
1300000     1.542       .3          .3          .5          
1310000     1.54        .3          .3          .5          
1330000     1.552       .3          .3          .5          
1340000     1.551       .3          .3          .5          
1360000     1.554       .3          .3          .5          
1370000     1.558       .3          .3          .5          
1390000     1.553       .3          .3          .5          
1400000     1.557       .3          .3          .5          
1420000     1.548       .3          .3          .5          
1440000     1.554       .3          .3          .5          
1450000     1.554       .3          .3          .5          
1470000     1.546       .3          .3          .5          
1490000     1.547       .3          .3          .5          
1510000     1.551       .3          .3          .5          
1520000     1.559       .3          .3          .5          
1540000     1.555       .3          .3          .5          
1560000     1.548       .3          .3          .5          
1580000     1.547       .3          .3          .5          
1590000     1.546       .3          .3          .5          
1610000     1.552       .3          .3          .5          
1630000     1.542       .3          .3          .5          
1650000     1.539       .3          .3          .5          
1670000     1.539       .3          .3          .5          
1690000     1.532       .3          .3          .5          
1710000     1.53        .3          .3          .5          
1730000     1.533       .3          .3          .5          
1750000     1.533       .3          .3          .5          
1770000     1.531       .3          .3          .5          
1790000     1.526       .3          .3          .5          
1810000     1.532       .3          .3          .4          
1830000     1.527       .3          .3          .4          
1850000     1.526       .3          .3          .4          
1870000     1.523       .3          .3          .4          
1900000     1.522       .3          .3          .4          
1920000     1.531       .3          .3          .4          
1940000     1.527       .3          .3          .4          
1960000     1.527       .3          .3          .4          
1980000     1.518       .3          .3          .4          
2010000     1.528       .3          .3          .4          
2030000     1.533       .3          .3          .4          
2050000     1.526       .3          .3          .4          
2080000     1.523       .3          .3          .4          
2100000     1.528       .3          .3          .4          
2130000     1.521       .3          .3          .4          
2150000     1.516       .3          .3          .4          
2180000     1.505       .3          .3          .4          
2200000     1.516       .3          .3          .4          
2230000     1.506       .3          .3          .4          
2250000     1.511       .3          .3          .4          
2280000     1.515       .3          .3          .4          
2300000     1.516       .3          .3          .4          
2330000     1.522       .3          .3          .4          
2360000     1.514       .3          .3          .4          
2390000     1.518       .3          .3          .4          
2410000     1.507       .3          .3          .4          
2440000     1.513       .3          .3          .4          
2470000     1.511       .3          .3          .4          
2500000     1.516       .3          .3          .4          
2530000     1.505       .3          .3          .4          
2560000     1.509       .3          .3          .4          
2590000     1.501       .3          .3          .4          
2620000     1.511       .3          .3          .4          
2650000     1.505       .3          .3          .4          
2680000     1.504       .3          .3          .4          
2710000     1.51        .3          .3          .4          
2740000     1.515       .3          .3          .4          
2770000     1.513       .3          .3          .4          
2800000     1.511       .3          .3          .4          
2840000     1.517       .3          .3          .4          
2870000     1.513       .3          .3          .4          
2900000     1.511       .3          .3          .4          
2930000     1.517       .3          .3          .4          
2970000     1.522       .3          .3          .4          
3000000     1.515       .3          .3          .4          
3040000     1.524       .3          .3          .4          
3070000     1.524       .3          .3          .4          
3110000     1.52        .3          .3          .4          
3140000     1.528       .3          .3          .4          
3180000     1.518       .3          .3          .4          
3220000     1.518       .3          .3          .4          
3260000     1.538       .3          .3          .4          
3290000     1.53        .3          .3          .4          
3330000     1.53        .3          .3          .4          
3370000     1.536       .3          .3          .4          
3410000     1.527       .3          .3          .4          
3450000     1.528       .3          .3          .4          
3490000     1.537       .3          .3          .4          
3530000     1.532       .3          .3          .4          
3570000     1.537       .3          .3          .4          
3610000     1.539       .3          .3          .4          
3650000     1.538       .3          .3          .4          
3690000     1.528       .3          .3          .4          
3740000     1.536       .3          .3          .4          
3780000     1.535       .3          .3          .4          
3820000     1.532       .3          .3          .4          
3870000     1.537       .3          .3          .4          
3910000     1.536       .3          .3          .4          
3960000     1.545       .3          .3          .5          
4000000     1.542       .3          .3          .4          
4050000     1.545       .3          .3          .5          
4100000     1.545       .3          .3          .5          
4150000     1.538       .3          .3          .5          
4190000     1.537       .3          .3          .5          
4240000     1.543       .4          .3          .5          
4290000     1.547       .4          .3          .5          
4340000     1.553       .4          .3          .5          
4390000     1.55        .4          .3          .5          
4440000     1.539       .4          .3          .5          
4490000     1.539       .4          .3          .5          
4550000     1.551       .4          .3          .5          
4600000     1.54        .4          .3          .5          
4650000     1.557       .4          .3          .5          
4700000     1.55        .4          .3          .5          
4760000     1.557       .4          .3          .5          
4810000     1.552       .4          .3          .5          
4870000     1.552       .4          .3          .5          
4930000     1.537       .4          .3          .5          
4980000     1.549       .4          .3          .5          
5040000     1.549       .4          .3          .5          
5100000     1.567       .4          .3          .5          
5160000     1.558       .4          .3          .5          
5220000     1.561       .4          .3          .5          
5280000     1.567       .4          .3          .5          
5340000     1.573       .4          .3          .5          
5400000     1.572       .4          .3          .5          
5460000     1.57        .4          .3          .5          
5530000     1.582       .4          .3          .5          
5590000     1.585       .4          .3          .5          
5660000     1.607       .4          .3          .5          
5720000     1.609       .4          .3          .5          
5790000     1.61        .4          .3          .5          
5860000     1.606       .4          .3          .5          
5920000     1.598       .4          .3          .5          
5990000     1.589       .4          .3          .5          
6060000     1.587       .4          .3          .5          
6130000     1.568       .4          .3          .5          
6200000     1.53        .4          .3          .5          
6270000     1.51        .4          .3          .5          
6350000     1.479       .4          .3          .5          
6420000     1.457       .4          .3          .4          
6490000     1.433       .4          .3          .4          
6570000     1.412       .4          .3          .4          
6650000     1.4         .4          .3          .4          
6720000     1.38        .4          .3          .4          
6800000     1.383       .4          .3          .4          
6880000     1.344       .4          .3          .4          
6960000     1.331       .4          .3          .4          
7040000     1.317       .4          .3          .4          
7120000     1.307       .4          .3          .4          
7200000     1.307       .4          .3          .4          
7290000     1.298       .4          .3          .4          
7370000     1.283       .4          .3          .4          
7460000     1.286       .4          .3          .4          
7540000     1.28        .4          .3          .4          
7630000     1.274       .4          .3          .4          
7720000     1.27        .4          .3          .4          
7810000     1.278       .4          .3          .4          
7900000     1.272       .4          .3          .4          
7990000     1.266       .4          .3          .4          
8080000     1.269       .4          .3          .4          
8180000     1.264       .4          .3          .4          
8270000     1.269       .4          .3          .4          
8370000     1.263       .4          .3          .4          
8460000     1.259       .4          .3          .4          
8560000     1.265       .4          .3          .4          
8660000     1.259       .4          .3          .4          
8760000     1.266       .4          .3          .4          
8860000     1.264       .4          .3          .4          
8960000     1.26        .4          .3          .4          
9070000     1.268       .4          .3          .4          
9170000     1.26        .4          .3          .4          
9280000     1.265       .4          .3          .4          
9390000     1.256       .4          .3          .4          
9500000     1.264       .4          .3          .4          
9610000     1.263       .4          .3          .4          
9720000     1.27        .4          .3          .4          
9830000     1.272       .4          .3          .4          
9940000     1.28        .4          .3          .4          
1.01e7      1.273       .4          .3          .4          
1.02e7      1.281       .4          .3          .4          
1.03e7      1.287       .4          .3          .4          
1.04e7      1.276       .4          .3          .4          
1.05e7      1.286       .4          .4          .5          
1.07e7      1.295       .4          .4          .5          
1.08e7      1.288       .4          .4          .5          
1.09e7      1.286       .4          .4          .5          
1.1e7       1.286       .4          .4          .5          
1.12e7      1.285       .4          .4          .5          
1.13e7      1.299       .4          .4          .5          
1.14e7      1.291       .4          .4          .5          
1.16e7      1.291       .5          .4          .5          
1.17e7      1.291       .5          .4          .5          
1.18e7      1.291       .5          .4          .5          
1.2e7       1.288       .5          .4          .5          
1.21e7      1.292       .5          .4          .5          
1.22e7      1.285       .5          .4          .5          
1.24e7      1.271       .5          .4          .5          
1.25e7      1.263       .5          .4          .5          
1.27e7      1.246       .5          .4          .5          
1.28e7      1.23        .5          .4          .5          
1.3e7       1.219       .5          .4          .5          
1.31e7      1.203       .5          .4          .5          
1.33e7      1.195       .5          .4          .5          
1.34e7      1.183       .5          .4          .5          
1.36e7      1.167       .5          .4          .5          
1.37e7      1.154       .5          .4          .5          
1.39e7      1.15        .5          .4          .5          
1.4e7       1.14        .5          .4          .5          
1.42e7      1.13        .5          .4          .5          
1.44e7      1.127       .5          .4          .5          
1.45e7      1.126       .5          .4          .5          
1.47e7      1.122       .5          .4          .5          
1.49e7      1.118       .5          .4          .5          
1.51e7      1.109       .5          .4          .5          
1.52e7      1.11        .5          .4          .5          
1.54e7      1.098       .5          .4          .5          
1.56e7      1.112       .5          .4          .5          
1.58e7      1.11        .5          .4          .5          
1.59e7      1.097       .5          .4          .5          
1.61e7      1.11        .5          .4          .5          
1.63e7      1.103       .5          .4          .5          
1.65e7      1.1         .5          .4          .5          
1.67e7      1.109       .5          .4          .5          
1.69e7      1.1         .5          .4          .5          
1.71e7      1.109       .5          .4          .5          
1.73e7      1.119       .5          .4          .5          
1.75e7      1.122       .5          .4          .5          
1.77e7      1.116       .5          .4          .5          
1.79e7      1.116       .5          .4          .5          
1.81e7      1.118       .5          .4          .5          
1.83e7      1.123       .5          .4          .5          
1.85e7      1.125       .5          .4          .5          
1.87e7      1.138       .5          .4          .5          
1.9e7       1.134       .5          .4          .5          
1.92e7      1.132       .5          .4          .5          
1.94e7      1.134       .5          .4          .5          
1.96e7      1.129       .5          .4          .5          
1.98e7      1.133       .5          .4          .5          
2.01e7      1.132       .5          .4          .5          
2.03e7      1.118       .5          .4          .5          
2.05e7      1.12        .5          .4          .5          
2.08e7      1.106       .5          .4          .5          
2.1e7       1.108       .5          .4          .5          
2.13e7      1.099       .5          .4          .5          
2.15e7      1.107       .5          .4          .5          
2.18e7      1.094       .5          .4          .5          
2.2e7       1.096       .5          .4          .5          
2.23e7      1.089       .5          .4          .5          
2.25e7      1.094       .5          .4          .5          
2.28e7      1.085       .5          .4          .5          
2.3e7       1.073       .5          .4          .5          
2.33e7      1.075       .5          .4          .5          
2.36e7      1.069       .5          .4          .5          
2.39e7      1.068       .5          .4          .4          
2.41e7      1.068       .5          .4          .4          
2.44e7      1.059       .5          .4          .4          
2.47e7      1.065       .5          .4          .4          
2.5e7       1.061       .5          .4          .4          
2.53e7      1.067       .5          .4          .4          
2.56e7      1.065       .5          .4          .4          
2.59e7      1.06        .5          .4          .4          
2.62e7      1.062       .5          .4          .4          
2.65e7      1.061       .5          .4          .4          
2.68e7      1.064       .5          .4          .4          
2.71e7      1.062       .5          .4          .4          
2.74e7      1.062       .5          .4          .4          
2.77e7      1.06        .5          .4          .4          
2.8e7       1.062       .5          .4          .4          
2.84e7      1.072       .5          .4          .4          
2.87e7      1.057       .5          .4          .4          
2.9e7       1.041       .5          .4          .4          
2.93e7      1.051       .5          .4          .4          
2.97e7      1.052       .5          .4          .4          
3e7         1.049       .5          .4          .4          
3.04e7      1.042       .5          .4          .4          
3.07e7      1.043       .5          .4          .4          
3.11e7      1.044       .5          .4          .4          
3.14e7      1.048       .5          .4          .4          
3.18e7      1.042       .5          .4          .4          
3.22e7      1.047       .5          .4          .4          
3.26e7      1.041       .5          .4          .4          
3.29e7      1.046       .5          .4          .4          
3.33e7      1.041       .5          .4          .4          
3.37e7      1.043       .5          .4          .4          
3.41e7      1.041       .5          .4          .4          
3.45e7      1.041       .5          .4          .4          
3.49e7      1.04        .5          .4          .4          
3.53e7      1.048       .5          .4          .4          
3.57e7      1.038       .5          .4          .4          
3.61e7      1.037       .5          .4          .4          
3.65e7      1.033       .5          .4          .4          
3.69e7      1.041       .5          .4          .4          
3.74e7      1.036       .5          .4          .4          
3.78e7      1.034       .5          .4          .4          
3.82e7      1.037       .5          .4          .4          
3.87e7      1.039       .5          .4          .4          
3.91e7      1.035       .5          .4          .4          
3.96e7      1.035       .5          .4          .4          
4e7         1.035       .5          .4          .4          
4.05e7      1.039       .5          .4          .4          
4.1e7       1.038       .5          .4          .4          
4.15e7      1.039       .5          .4          .4          
4.19e7      1.04        .5          .4          .4          
4.24e7      1.032       .5          .4          .4          
4.29e7      1.041       .5          .4          .4          
4.34e7      1.041       .5          .4          .4          
4.39e7      1.039       .5          .4          .4          
4.44e7      1.043       .5          .4          .4          
4.49e7      1.033       .5          .4          .4          
4.55e7      1.035       .5          .4          .4          
4.6e7       1.023       .5          .4          .4          
4.65e7      1.033       .5          .4          .4          
4.7e7       1.041       .5          .4          .4          
4.76e7      1.044       .5          .4          .4          
4.81e7      1.026       .5          .4          .4          
4.87e7      1.039       .5          .4          .4          
4.93e7      1.035       .5          .4          .4          
4.98e7      1.043       .5          .4          .4          
5.04e7      1.042       .5          .4          .4          
5.1e7       1.042       .6          .4          .4          
5.16e7      1.037       .6          .4          .4          
5.22e7      1.034       .6          .4          .3          
5.28e7      1.036       .6          .4          .4          
5.34e7      1.045       .6          .4          .4          
5.4e7       1.039       .6          .4          .4          
5.46e7      1.043       .6          .4          .4          
5.53e7      1.031       .6          .4          .4          
5.59e7      1.038       .6          .4          .4          
5.66e7      1.034       .6          .4          .4          
5.72e7      1.039       .6          .4          .4          
5.79e7      1.034       .6          .4          .4          
5.86e7      1.037       .6          .4          .4          
5.92e7      1.036       .6          .4          .4          
5.99e7      1.043       .6          .4          .4          
6.06e7      1.039       .6          .4          .4          
6.13e7      1.041       .6          .4          .4          
6.2e7       1.04        .6          .4          .4          
6.27e7      1.038       .6          .4          .4          
6.35e7      1.046       .6          .4          .4          
6.42e7      1.036       .6          .4          .3          
6.49e7      1.044       .6          .4          .4          
6.57e7      1.031       .6          .4          .4          
6.65e7      1.035       .6          .4          .4          
6.72e7      1.044       .6          .4          .4          
6.8e7       1.027       .6          .4          .4          
6.88e7      1.036       .6          .4          .4          
6.96e7      1.043       .6          .4          .4          
7.04e7      1.035       .6          .4          .4          
7.12e7      1.029       .6          .4          .4          
7.2e7       1.031       .6          .4          .4          
7.29e7      1.039       .6          .4          .4          
7.37e7      1.036       .6          .4          .4          
7.46e7      1.037       .6          .4          .4          
7.54e7      1.037       .6          .4          .4          
7.63e7      1.039       .6          .4          .4          
7.72e7      1.047       .6          .4          .4          
7.81e7      1.045       .6          .4          .4          
7.9e7       1.038       .6          .4          .4          
7.99e7      1.042       .6          .4          .4          
8.08e7      1.041       .6          .4          .4          
8.18e7      1.038       .6          .4          .4          
8.27e7      1.038       .6          .4          .4          
8.37e7      1.034       .7          .4          .4          
8.46e7      1.033       .7          .4          .4          
8.56e7      1.039       .7          .4          .4          
8.66e7      1.018       .7          .4          .4          
8.76e7      1.041       .7          .4          .4          
8.86e7      1.032       .7          .4          .4          
8.96e7      1.04        .7          .4          .4          
9.07e7      1.033       .7          .4          .4          
9.17e7      1.036       .7          .4          .4          
9.28e7      1.021       .7          .4          .4          
9.39e7      1.044       .7          .4          .4          
9.5e7       1.038       .7          .4          .4          
9.61e7      1.027       .7          .4          .4          
9.72e7      1.043       .7          .4          .4          
9.83e7      1.037       .7          .4          .4          
9.94e7      1.034       .7          .4          .4          
1.01e8      1.042       .7          .4          .4          
1.02e8      1.036       .7          .5          .4          
1.03e8      1.04        .7          .4          .4          
1.04e8      1.035       .7          .5          .4          
1.05e8      1.042       .7          .5          .4          
1.07e8      1.029       .8          .5          .5          
1.08e8      1.053       .8          .5          .5          
1.09e8      1.036       .8          .5          .5          
1.1e8       1.039       .8          .5          .5          
1.12e8      1.042       .8          .5          .5          
1.13e8      1.035       .8          .5          .5          
1.14e8      1.035       .8          .5          .5          
1.16e8      1.047       .8          .5          .5          
1.17e8      1.037       .8          .5          .5          
1.18e8      1.037       .8          .5          .5          
1.2e8       1.046       .8          .5          .5          
1.21e8      1.041       .8          .5          .5          
1.22e8      1.045       .8          .5          .5          
1.24e8      1.047       .8          .5          .5          
1.25e8      1.043       .9          .6          .6          
1.27e8      1.04        .9          .6          .5          
1.28e8      1.044       .9          .6          .6          
1.3e8       1.045       .9          .6          .6          
1.31e8      1.034       .9          .6          .6          
1.33e8      1.035       .9          .6          .6          
1.34e8      1.039       .9          .6          .6          
1.36e8      1.036       .9          .6          .6          
1.37e8      1.03        .9          .6          .6          
1.39e8      1.031       1           .6          .6          
1.4e8       1.048       1           .6          .6          
1.42e8      1.028       1           .7          .6          
1.44e8      1.039       1           .7          .6          
1.45e8      1.054       1           .7          .7          
1.47e8      1.041       1           .7          .7          
1.49e8      1.043       1           .7          .7          
1.51e8      1.028       1           .7          .7          
1.52e8      1.024       1           .7          .7          
1.54e8      1.033       1.1         .7          .7          
1.56e8      1.042       1.1         .8          .7          
1.58e8      1.041       1.1         .8          .7          
1.59e8      1.041       1.1         .8          .8          
1.61e8      1.034       1.1         .8          .8          
1.63e8      1.032       1.2         .8          .8          
1.65e8      1.02        1.2         .8          .8          
1.67e8      1.043       1.2         .8          .9          
1.69e8      1.051       1.2         .9          .8          
1.71e8      1.031       1.2         .9          .9          
1.73e8      1.037       1.2         .9          .9          
1.75e8      1.039       1.2         .9          .9          
1.77e8      1.069       1.3         .9          .9          
1.79e8      1.053       1.3         1           1           
1.81e8      1.041       1.3         1           1           
1.83e8      1.045       1.3         1           1           
1.85e8      1.051       1.4         1.1         1           
1.87e8      1.057       1.4         1.1         1.1         
1.9e8       1.041       1.4         1.1         1.1         
1.92e8      1.065       1.4         1.1         1.2         
1.94e8      1.038       1.5         1.1         1.2         
1.96e8      1.076       1.5         1.2         1.2         
1.98e8      1.041       1.5         1.2         1.2         
