#ldata:  528
#data...
#            X            Y
#          MeV            %
         1e-10     0.778102 
         5e-10     0.759445 
       7.5e-10     0.746285 
          1e-9     0.734592 
        1.2e-9     0.721797 
        1.5e-9      0.70263 
          2e-9     0.679326 
        2.5e-9     0.657347 
          3e-9      0.62857 
          4e-9     0.595467 
          5e-9     0.555048 
        7.5e-9      0.52407 
          1e-8     0.508098 
       1.45e-8     0.499397 
       1.85e-8     0.495332 
        2.1e-8     0.494344 
       2.53e-8     0.496759 
          3e-8      0.50477 
          4e-8     0.517519 
          5e-8     0.529233 
          6e-8     0.540157 
          7e-8     0.551431 
          8e-8     0.561979 
          9e-8     0.572081 
          1e-7      0.58835 
       1.25e-7     0.614327 
        1.5e-7     0.649809 
       1.75e-7     0.684258 
       1.84e-7     0.709765 
          2e-7     0.737815 
       2.25e-7      0.73434 
        2.5e-7     0.757913 
       2.75e-7     0.825671 
          3e-7     0.828093 
       3.25e-7     0.849574 
        3.5e-7     0.886229 
      3.668e-7     0.899326 
       3.75e-7     0.898906 
          4e-7     0.890203 
     4.1399e-7     0.869528 
        4.5e-7     0.843714 
          5e-7     0.836779 
     5.3158e-7     0.838354 
        5.5e-7     0.843508 
          6e-7      0.85347 
       6.25e-7     0.860169 
        6.5e-7     0.868528 
     6.8256e-7     0.876345 
          7e-7     0.884494 
        7.5e-7     0.897179 
          8e-7     0.910638 
        8.5e-7     0.923629 
     8.7643e-7     0.934037 
          9e-7     0.945853 
       9.25e-7     0.961775 
        9.5e-7     0.980349 
       9.75e-7      1.00308 
          1e-6      1.02069 
       1.01e-6      1.03038 
       1.02e-6      1.04001 
       1.03e-6      1.04924 
       1.04e-6      1.05832 
       1.05e-6      1.06774 
       1.06e-6      1.07831 
       1.07e-6       1.0919 
       1.08e-6      1.11247 
       1.09e-6      1.14409 
        1.1e-6      1.18612 
       1.11e-6      1.24016 
       1.12e-6      1.30501 
       1.13e-6      1.37143 
       1.14e-6      1.42867 
       1.15e-6      1.47636 
      1.175e-6      1.59691 
        1.2e-6      1.85798 
      1.225e-6      2.29996 
       1.25e-6      2.45733 
        1.3e-6      3.15119 
       1.35e-6      2.35829 
        1.4e-6      1.93289 
       1.45e-6      1.76639 
        1.5e-6      1.70986 
      1.545e-6      1.69049 
       1.59e-6      1.68185 
      1.635e-6      1.67845 
       1.68e-6      1.67723 
      1.725e-6      1.67763 
       1.77e-6      1.68215 
      1.815e-6      1.69546 
       1.86e-6      1.73015 
        1.9e-6      1.81907 
       1.94e-6      2.02613 
       1.97e-6      2.47394 
          2e-6      3.36387 
       2.06e-6      2.84147 
