#ldata:  528
#data...
#            X            Y
#          MeV            %
       2.12e-6      2.22187 
      2.165e-6      2.05122 
       2.21e-6      1.98592 
      2.255e-6      1.97079 
        2.3e-6      1.98803 
       2.34e-6      2.03123 
       2.38e-6       2.1118 
      2.425e-6      2.24752 
       2.47e-6      2.47635 
       2.52e-6      2.86588 
       2.57e-6      3.47284 
       2.62e-6      4.25201 
       2.67e-6      4.34557 
       2.72e-6      5.92102 
       2.77e-6      5.53568 
       2.82e-6      3.39851 
       2.87e-6      2.66852 
       2.92e-6      2.48563 
       2.97e-6      2.44937 
          3e-6      2.54633 
        3.1e-6      2.66302 
        3.2e-6      3.15781 
        3.3e-6      2.22514 
        3.5e-6      2.16447 
       3.62e-6      2.81686 
       3.73e-6      6.21882 
       3.83e-6      6.20085 
     3.9279e-6      5.88964 
          4e-6      5.31615 
        4.1e-6      4.65389 
        4.3e-6      4.17342 
        4.5e-6      3.72963 
       4.75e-6      4.23198 
      4.875e-6      3.94063 
          5e-6      4.54769 
     5.0435e-6      4.29223 
       5.25e-6      3.88595 
        5.4e-6      3.51375 
       5.55e-6      3.25606 
        5.7e-6      2.92953 
       5.85e-6         2.87 
          6e-6      2.73145 
       6.25e-6      2.14951 
      6.375e-6      2.34086 
        6.5e-6       3.9886 
      6.625e-6      6.27929 
       6.75e-6      6.37715 
      6.875e-6      3.22893 
          7e-6      3.43203 
      7.075e-6      3.77281 
       7.15e-6        3.398 
      7.625e-6      5.57991 
        8.1e-6      3.78971 
     8.2077e-6      3.14688 
     8.3153e-6      1.27177 
     8.7077e-6     0.887735 
        9.1e-6      1.68472 
       9.55e-6      2.79997 
          1e-5      3.16603 
     1.0339e-5      2.82659 
     1.0677e-5      2.95817 
     1.1089e-5      2.50165 
       1.15e-5      3.88392 
       1.17e-5      2.92506 
       1.19e-5      1.99693 
       1.24e-5      2.29174 
       1.29e-5      3.76228 
     1.3325e-5      3.10609 
      1.375e-5      2.28144 
     1.4075e-5      2.62135 
       1.44e-5       3.1497 
      1.475e-5      4.53478 
       1.51e-5      2.63913 
      1.555e-5      2.66557 
        1.6e-5      2.55457 
       1.65e-5      2.40542 
        1.7e-5      3.57627 
     1.7302e-5      3.97993 
     1.7604e-5       3.2395 
     1.8052e-5      3.19428 
       1.85e-5      3.45094 
      1.875e-5       4.4135 
        1.9e-5      1.39803 
       1.94e-5      1.72908 
          2e-5      3.07163 
       2.05e-5      2.71469 
        2.1e-5      2.42231 
      2.175e-5      6.50866 
       2.25e-5      1.62808 
      2.375e-5      1.69458 
        2.5e-5      1.73854 
      2.625e-5      2.08228 
       2.75e-5      2.30166 
     2.8262e-5      3.81026 
     2.9023e-5      6.58197 
     2.9512e-5      5.94959 
          3e-5      5.81635 
     3.0625e-5      3.49886 
      3.125e-5      19.6368 
       3.15e-5       6.2481 
      3.175e-5      1.94534 
       3.25e-5      5.64408 
      3.325e-5      5.27802 
       3.35e-5      4.63183 
      3.375e-5      3.52521 
     3.4175e-5      2.22765 
       3.46e-5      2.57282 
        3.5e-5      1.73376 
       3.55e-5      2.29897 
        3.6e-5      2.98719 
        3.7e-5       5.2567 
      3.713e-5      9.82961 
      3.727e-5      4.83796 
      3.763e-5      4.02252 
        3.8e-5      3.76173 
      3.855e-5      4.53516 
       3.91e-5      3.53695 
      3.935e-5      3.54674 
       3.96e-5      3.19942 
       4.03e-5      3.29722 
        4.1e-5      3.13921 
       4.17e-5      2.76145 
       4.24e-5      3.62366 
       4.32e-5      3.44523 
        4.4e-5      4.42287 
       4.46e-5       3.8118 
       4.52e-5      3.45854 
       4.61e-5      3.66605 
        4.7e-5      5.97695 
     4.7426e-5      4.29677 
     4.7851e-5      6.07989 
     4.8076e-5      7.21955 
       4.83e-5      4.87235 
      4.875e-5      5.28133 
       4.92e-5      3.70154 
       4.99e-5      3.31343 
       5.06e-5      3.68623 
       5.13e-5      3.78062 
        5.2e-5      2.61758 
       5.27e-5      5.68206 
       5.34e-5      1.61572 
       5.62e-5      1.91347 
        5.8e-5      2.35364 
          6e-5      3.20939 
        6.1e-5      11.0745 
     6.1221e-5      8.75623 
     6.1442e-5      3.53081 
        6.3e-5      2.63272 
        6.5e-5      5.53723 
      6.625e-5      7.05415 
       6.75e-5      3.49618 
      6.975e-5      1.95231 
        7.2e-5      2.61948 
        7.4e-5      2.03105 
        7.6e-5      5.70372 
     7.7447e-5      3.26358 
     7.8893e-5      4.78679 
     7.9447e-5      5.45704 
          8e-5      2.94848 
       8.17e-5       7.7063 
        8.2e-5      3.05429 
        8.4e-5      2.24972 
        8.6e-5      3.12837 
        8.8e-5      2.44037 
          9e-5      2.16715 
       9.25e-5      3.36377 
        9.5e-5      2.90506 
        9.7e-5      2.73284 
        0.0001      4.37039 
     0.0001012      2.21385 
     0.0001038      3.94855 
      0.000105      2.10663 
      0.000108      3.27592 
     0.0001105      4.36854 
      0.000113      3.07779 
      0.000116      4.75496 
     0.0001175       2.4362 
      0.000119      4.22894 
     0.0001205      3.19612 
      0.000122      3.91781 
      0.000124      2.70247 
      0.000126      2.46426 
      0.000128      3.63723 
    0.00013007      2.86701 
     0.0001325      2.75849 
      0.000135      2.92694 
     0.0001375      10.1849 
       0.00014      2.45359 
      0.000143      5.47262 
      0.000145      2.30665 
     0.0001475      2.80896 
       0.00015      6.87879 
     0.0001525      3.19248 
      0.000155      3.05006 
     0.0001575      2.98381 
       0.00016      3.72436 
     0.0001625      2.92628 
      0.000165      3.03883 
    0.00016702      2.40374 
       0.00017      5.49935 
    0.00017158      4.49842 
     0.0001739      2.78785 
    0.00017625      2.18041 
    0.00017864      6.71514 
       0.00018      2.16927 
     0.0001877       15.871 
     0.0001885      3.39645 
     0.0001915         3.18 
      0.000193      4.04306 
    0.00019615       2.4647 
    0.00019986      2.85723 
      0.000202      2.52825 
     0.0002074      8.09911 
    0.00020875      13.1738 
     0.0002095      4.19382 
    0.00021221      3.00568 
    0.00021445      4.72683 
    0.00021749      6.40238 
       0.00022      2.29046 
     0.0002237      3.50633 
    0.00022687      4.30518 
    0.00023008      2.42705 
    0.00023334       4.3544 
    0.00023665      3.57734 
       0.00024      2.51809 
    0.00024416      3.16522 
    0.00024839      3.26433 
    0.00025269      2.58469 
    0.00025707      3.43272 
    0.00026153      3.49864 
    0.00026606      2.46216 
    0.00027067      2.67006 
    0.00027536      2.70279 
    0.00028014      5.82031 
      0.000285      4.83866 
    0.00028987      8.04644 
    0.00029483      3.57095 
    0.00029987      5.47258 
      0.000305      6.16182 
    0.00031069      3.18112 
    0.00031648       4.5991 
    0.00032238      2.70632 
    0.00032839      3.06969 
    0.00033451      3.68767 
    0.00034075      5.46843 
     0.0003471       5.1587 
    0.00035357      4.69121 
    0.00035914      4.47808 
    0.00036479      5.47723 
    0.00037053      5.43333 
    0.00037637      3.61585 
     0.0003823      7.23737 
    0.00038832      10.4759 
    0.00039444       4.4788 
    0.00040065      4.29877 
    0.00040696      6.17924 
    0.00041337      4.07394 
    0.00041988      4.16616 
    0.00042649       4.1397 
    0.00043321      3.84089 
    0.00044003      4.07147 
    0.00044696      6.22271 
      0.000454      10.6643 
    0.00045948      3.64881 
    0.00046502      5.53387 
    0.00047063       5.6537 
     0.0004763      9.26573 
    0.00048205      17.5848 
    0.00048786      5.09864 
    0.00049374      7.86398 
     0.0004997        5.412 
    0.00050573       4.0131 
    0.00051183      4.31069 
      0.000518      5.05134 
    0.00052425      6.04298 
    0.00053057       7.3229 
    0.00053697      4.66662 
    0.00054345      5.48753 
       0.00055      6.38489 
    0.00055806      6.20467 
    0.00056624      4.42272 
    0.00057453      4.66332 
    0.00058295      3.37798 
    0.00059318      3.92995 
    0.00060359      3.86387 
    0.00061418      5.11303 
    0.00062496      4.15925 
    0.00063593      5.09057 
    0.00064709      7.02125 
    0.00065845      4.59243 
       0.00067      6.65856 
    0.00067647      5.19988 
      0.000683      7.76799 
    0.00069086      5.49495 
    0.00069882       5.8829 
    0.00070687       6.5733 
    0.00071501      5.97722 
    0.00072324      7.51723 
    0.00073157      5.27272 
       0.00074      6.85124 
    0.00074852      6.96521 
    0.00075976       7.1128 
    0.00077116      4.58898 
    0.00078273      5.21954 
    0.00079448      4.98015 
    0.00080641      6.99427 
    0.00081851      8.27815 
    0.00083079      9.53476 
    0.00084326      7.90293 
    0.00085592      5.07197 
    0.00086877      7.83109 
    0.00088181       7.7485 
    0.00089504      5.16459 
    0.00090847      6.00223 
    0.00092211      5.34947 
    0.00093595      6.20695 
       0.00095       11.404 
    0.00095554      21.6613 
    0.00096112      22.6311 
    0.00097196       7.5708 
    0.00098292      8.50576 
      0.000994      9.05418 
     0.0010052       8.2908 
     0.0010165      9.64636 
      0.001028      9.63987 
     0.0010396      8.73573 
     0.0010513       7.3316 
     0.0010632      8.63261 
     0.0010752      5.80086 
     0.0010873      7.55638 
     0.0010996      7.89758 
      0.001112      9.31231 
     0.0011245      7.59341 
     0.0011372        6.779 
       0.00115      5.08437 
     0.0011705      5.56686 
     0.0011913      6.54507 
     0.0012125      9.24267 
     0.0012341      14.5221 
     0.0012493      8.40035 
     0.0012646      8.16327 
     0.0012801      9.49326 
     0.0012958      6.48825 
     0.0013117      7.67793 
     0.0013278      7.27888 
     0.0013441       7.7305 
     0.0013606      8.11241 
     0.0013773      6.37641 
     0.0013942      8.04449 
     0.0014113      7.17718 
     0.0014286      7.61734 
     0.0014461      7.39303 
     0.0014639      8.80934 
     0.0014818      9.48299 
        0.0015      7.37479 
     0.0015248      6.95496 
       0.00155      5.60896 
     0.0015846      6.12418 
       0.00161      6.63372 
     0.0016359      6.43908 
     0.0016622      5.49109 
     0.0016889      6.53334 
      0.001716      6.23669 
     0.0017435      6.50645 
     0.0017716      5.75673 
        0.0018       6.5874 
     0.0018278      6.18627 
      0.001856      6.51041 
     0.0018847      7.16508 
     0.0019138      5.62447 
     0.0019433      6.38998 
     0.0019733      7.26699 
     0.0020038      12.1236 
     0.0020347      8.43688 
     0.0020748      9.17461 
     0.0021157       8.0642 
     0.0021575      9.20831 
        0.0022      8.97748 
       0.00225      21.0721 
     0.0022536      1.34159 
     0.0028371      1.55582 
     0.0035717      1.57546 
     0.0044965      1.40527 
     0.0056608      1.33142 
     0.0071265      1.34249 
     0.0089716      2.09578 
      0.011295      5.24339 
      0.014219      2.54687 
      0.017901      1.76358 
      0.022536      1.29573 
      0.028371      1.32238 
      0.035717      1.41632 
      0.044965      1.39663 
      0.056608      1.30961 
      0.071265      1.30849 
      0.089717      1.33362 
       0.11295      1.33112 
       0.14219      1.34829 
       0.17901      1.34812 
       0.22536      1.31561 
       0.28371      1.31721 
       0.35717      1.32546 
       0.44965      1.29557 
       0.56608       1.2966 
       0.71265      1.28027 
       0.89717      1.26906 
        1.1295        1.269 
        1.3357      1.27247 
        1.4987      1.26534 
        1.7901      1.27314 
        2.2536      1.26838 
        2.8371      1.28165 
        3.5717      1.27453 
        4.4965      1.27515 
        5.3177      1.29851 
        5.9665      1.35925 
        6.6946      1.35031 
        7.5114      1.37405 
        8.1787      1.38844 
        8.6633      1.39817 
        9.4563      1.39893 
         10.61       1.4667 
        11.553      1.57571 
        12.237      1.46494 
        13.357      1.29049 
        14.544        1.342 
        15.406        1.459 
        16.319      1.51649 
        17.286      1.46261 
        18.868      1.43016 
        22.536      1.48171 
           100      1.48171 
