#ldata:  527
#data...
#            X            Y
#          MeV            %
      1.175e-6      1.59377 
        1.2e-6      1.85528 
      1.225e-6      2.29779 
       1.25e-6      2.45529 
        1.3e-6      3.14961 
       1.35e-6      2.35617 
        1.4e-6       1.9303 
       1.45e-6      1.76355 
        1.5e-6      1.70693 
      1.545e-6      1.68753 
       1.59e-6      1.67888 
      1.635e-6      1.67546 
       1.68e-6      1.67424 
      1.725e-6      1.67465 
       1.77e-6      1.67917 
      1.815e-6      1.69251 
       1.86e-6      1.72726 
        1.9e-6      1.81631 
       1.94e-6      2.02366 
       1.97e-6      2.47192 
          2e-6      3.36239 
       2.06e-6      2.83971 
       2.12e-6      2.21962 
      2.165e-6      2.04878 
       2.21e-6       1.9834 
      2.255e-6      1.96825 
        2.3e-6      1.98551 
       2.34e-6      2.02877 
       2.38e-6      2.10943 
      2.425e-6      2.24529 
       2.47e-6      2.47433 
       2.52e-6      2.86414 
       2.57e-6       3.4714 
       2.62e-6      4.25084 
       2.67e-6      4.34442 
       2.72e-6      5.92018 
       2.77e-6      5.53478 
       2.82e-6      3.39704 
       2.87e-6      2.66665 
       2.92e-6      2.48362 
       2.97e-6      2.44733 
          3e-6      2.54437 
        3.1e-6      2.66114 
        3.2e-6      3.15622 
        3.3e-6      2.22289 
        3.5e-6      2.16216 
       3.62e-6      2.81509 
       3.73e-6      6.21801 
       3.83e-6      6.20005 
     3.9279e-6       5.8888 
          4e-6       5.3152 
        4.1e-6      4.65282 
        4.3e-6      4.17223 
        4.5e-6      3.72829 
       4.75e-6       4.2308 
      4.875e-6      3.93936 
          5e-6      4.54659 
     5.0435e-6      4.29106 
       5.25e-6      3.88466 
        5.4e-6      3.51232 
       5.55e-6      3.25452 
        5.7e-6      2.92782 
       5.85e-6      2.86826 
          6e-6      2.72962 
       6.25e-6      2.14719 
      6.375e-6      2.33872 
        6.5e-6      3.98735 
      6.625e-6      6.27849 
       6.75e-6      6.37637 
      6.875e-6      3.22738 
          7e-6      3.43058 
      7.075e-6      3.77149 
       7.15e-6      3.39652 
      7.625e-6      5.57902 
        8.1e-6      3.78839 
     8.2077e-6      3.14529 
     8.3153e-6      1.26783 
     8.7077e-6     0.882085 
        9.1e-6      1.68175 
       9.55e-6      2.79819 
          1e-5      3.16445 
     1.0339e-5      2.82482 
     1.0677e-5      2.95648 
     1.1089e-5      2.49965 
       1.15e-5      3.88263 
       1.17e-5      2.92335 
       1.19e-5      1.99443 
       1.24e-5      2.28956 
       1.29e-5      3.76095 
     1.3325e-5      3.10448 
      1.375e-5      2.27925 
     1.4075e-5      2.61944 
       1.44e-5      3.14811 
      1.475e-5      4.53368 
       1.51e-5      2.63724 
      1.555e-5       2.6637 
        1.6e-5      2.55262 
       1.65e-5      2.40334 
        1.7e-5      3.57487 
     1.7302e-5      3.97867 
     1.7604e-5      3.23795 
     1.8052e-5      3.19272 
       1.85e-5      3.44949 
      1.875e-5      4.41237 
        1.9e-5      1.39445 
       1.94e-5      1.72618 
          2e-5         3.07 
       2.05e-5      2.71285 
        2.1e-5      2.42024 
      2.175e-5       6.5079 
       2.25e-5      1.62501 
      2.375e-5      1.69163 
        2.5e-5      1.73567 
      2.625e-5      2.07987 
       2.75e-5      2.29948 
     2.8262e-5      3.80895 
     2.9023e-5      6.58121 
     2.9512e-5      5.94875 
          3e-5      5.81549 
     3.0625e-5      3.49743 
      3.125e-5      19.6365 
       3.15e-5       6.2473 
      3.175e-5      1.94276 
       3.25e-5       5.6432 
      3.325e-5      5.27707 
       3.35e-5      4.63075 
      3.375e-5      3.52379 
     3.4175e-5      2.22541 
       3.46e-5      2.57088 
        3.5e-5      1.73087 
       3.55e-5      2.29679 
        3.6e-5      2.98552 
        3.7e-5      5.25575 
      3.713e-5       9.8291 
      3.727e-5      4.83693 
      3.763e-5      4.02128 
        3.8e-5       3.7604 
      3.855e-5      4.53406 
       3.91e-5      3.53553 
      3.935e-5      3.54533 
       3.96e-5      3.19786 
       4.03e-5       3.2957 
        4.1e-5      3.13761 
       4.17e-5      2.75964 
       4.24e-5      3.62228 
       4.32e-5      3.44378 
        4.4e-5      4.42173 
       4.46e-5      3.81049 
       4.52e-5      3.45709 
       4.61e-5      3.66469 
        4.7e-5      5.97611 
     4.7426e-5      4.29561 
     4.7851e-5      6.07907 
     4.8076e-5      7.21886 
       4.83e-5      4.87133 
      4.875e-5      5.28038 
       4.92e-5      3.70019 
       4.99e-5      3.31192 
       5.06e-5      3.68487 
       5.13e-5       3.7793 
        5.2e-5      2.61567 
       5.27e-5      5.68118 
       5.34e-5      1.61263 
       5.62e-5      1.91086 
        5.8e-5      2.35151 
          6e-5      3.20783 
        6.1e-5       11.074 
     6.1221e-5      8.75566 
     6.1442e-5       3.5294 
        6.3e-5      2.63082 
        6.5e-5      5.53633 
      6.625e-5      7.05344 
       6.75e-5      3.49475 
      6.975e-5      1.94975 
        7.2e-5      2.61757 
        7.4e-5      2.02859 
        7.6e-5      5.70285 
     7.7447e-5      3.26205 
     7.8893e-5      4.78575 
     7.9447e-5      5.45613 
          8e-5      2.94678 
       8.17e-5      7.70565 
        8.2e-5      3.05265 
        8.4e-5      2.24749 
        8.6e-5      3.12677 
        8.8e-5      2.43832 
          9e-5      2.16484 
       9.25e-5      3.36228 
        9.5e-5      2.90334 
        9.7e-5      2.73101 
        0.0001      4.36925 
     0.0001012      2.21159 
     0.0001038      3.94729 
      0.000105      2.10425 
      0.000108      3.27439 
     0.0001105       4.3674 
      0.000113      3.07617 
      0.000116      4.75391 
     0.0001175      2.43414 
      0.000119      4.22776 
     0.0001205      3.19455 
      0.000122      3.91654 
      0.000124      2.70062 
      0.000126      2.46223 
      0.000128      3.63586 
    0.00013007      2.86527 
     0.0001325      2.75668 
      0.000135      2.92523 
     0.0001375      10.1844 
       0.00014      2.45155 
      0.000143      5.47171 
      0.000145      2.30449 
     0.0001475      2.80717 
       0.00015      6.87807 
     0.0001525      3.19091 
      0.000155      3.04842 
     0.0001575      2.98214 
       0.00016      3.72302 
     0.0001625      2.92457 
      0.000165      3.03718 
    0.00016702      2.40166 
       0.00017      5.49844 
    0.00017158      4.49731 
     0.0001739      2.78605 
    0.00017625      2.17811 
    0.00017864       6.7144 
       0.00018      2.16696 
     0.0001877      15.8707 
     0.0001885      3.39498 
     0.0001915      3.17843 
      0.000193      4.04183 
    0.00019615      2.46267 
    0.00019986      2.85548 
      0.000202      2.52627 
     0.0002074       8.0985 
    0.00020875      13.1734 
     0.0002095      4.19263 
    0.00021221      3.00402 
    0.00021445      4.72577 
    0.00021749       6.4016 
       0.00022      2.28827 
     0.0002237       3.5049 
    0.00022687      4.30402 
    0.00023008      2.42499 
    0.00023334      4.35325 
    0.00023665      3.57594 
       0.00024      2.51611 
    0.00024416      3.16364 
    0.00024839       3.2628 
    0.00025269      2.58276 
    0.00025707      3.43126 
    0.00026153      3.49721 
    0.00026606      2.46013 
    0.00027067      2.66819 
    0.00027536      2.70094 
    0.00028014      5.81945 
      0.000285      4.83763 
    0.00028987      8.04582 
    0.00029483      3.56954 
    0.00029987      5.47167 
      0.000305      6.16101 
    0.00031069      3.17955 
    0.00031648      4.59802 
    0.00032238      2.70447 
    0.00032839      3.06806 
    0.00033451      3.68631 
    0.00034075      5.46751 
     0.0003471      5.15773 
    0.00035357      4.69014 
    0.00035914      4.47696 
    0.00036479      5.47631 
    0.00037053      5.43241 
    0.00037637      3.61447 
     0.0003823      7.23668 
    0.00038832      10.4754 
    0.00039444      4.47768 
    0.00040065      4.29761 
    0.00040696      6.17843 
    0.00041337      4.07271 
    0.00041988      4.16496 
    0.00042649      4.13849 
    0.00043321      3.83959 
    0.00044003      4.07024 
    0.00044696      6.22191 
      0.000454      10.6638 
    0.00045948      3.64744 
    0.00046502      5.53297 
    0.00047063      5.65282 
     0.0004763      9.26519 
    0.00048205      17.5845 
    0.00048786      5.09766 
    0.00049374      7.86335 
     0.0004997      5.41107 
    0.00050573      4.01186 
    0.00051183      4.30953 
      0.000518      5.05035 
    0.00052425      6.04216 
    0.00053057      7.32222 
    0.00053697      4.66555 
    0.00054345      5.48662 
       0.00055      6.38411 
    0.00055806      6.20386 
    0.00056624      4.42159 
    0.00057453      4.66225 
    0.00058295       3.3765 
    0.00059318      3.92868 
    0.00060359      3.86257 
    0.00061418      5.11205 
    0.00062496      4.15805 
    0.00063593      5.08959 
    0.00064709      7.02053 
    0.00065845      4.59134 
       0.00067      6.65781 
    0.00067647      5.19892 
      0.000683      7.76734 
    0.00069086      5.49404 
    0.00069882      5.88205 
    0.00070687      6.57254 
    0.00071501      5.97638 
    0.00072324      7.51656 
    0.00073157      5.27177 
       0.00074      6.85051 
    0.00074852       6.9645 
    0.00075976       7.1121 
    0.00077116      4.58789 
    0.00078273      5.21858 
    0.00079448      4.97915 
    0.00080641      6.99355 
    0.00081851      8.27754 
    0.00083079      9.53423 
    0.00084326       7.9023 
    0.00085592      5.07099 
    0.00086877      7.83046 
    0.00088181      7.74786 
    0.00089504      5.16362 
    0.00090847       6.0014 
    0.00092211      5.34854 
    0.00093595      6.20614 
       0.00095      11.4036 
    0.00095554       21.661 
    0.00096112      22.6309 
    0.00097196      7.57014 
    0.00098292      8.50518 
      0.000994      9.05363 
     0.0010052       8.2902 
     0.0010165      9.64584 
      0.001028      9.63935 
     0.0010396      8.73516 
     0.0010513      7.33091 
     0.0010632      8.63203 
     0.0010752          5.8 
     0.0010873      7.55571 
     0.0010996      7.89695 
      0.001112      9.31178 
     0.0011245      7.59275 
     0.0011372      6.77826 
       0.00115      5.08339 
     0.0011705      5.56596 
     0.0011913      6.54431 
     0.0012125      9.24212 
     0.0012341      14.5218 
     0.0012493      8.39976 
     0.0012646      8.16266 
     0.0012801      9.49274 
     0.0012958      6.48748 
     0.0013117      7.67728 
     0.0013278      7.27819 
     0.0013441      7.72985 
     0.0013606      8.11179 
     0.0013773      6.37563 
     0.0013942      8.04387 
     0.0014113      7.17649 
     0.0014286      7.61669 
     0.0014461      7.39236 
     0.0014639      8.80877 
     0.0014818      9.48247 
        0.0015      7.37411 
     0.0015248      6.95424 
       0.00155      5.60807 
     0.0015846      6.12336 
       0.00161      6.63297 
     0.0016359      6.43831 
     0.0016622      5.49018 
     0.0016889      6.53258 
      0.001716      6.23588 
     0.0017435      6.50568 
     0.0017716      5.75586 
        0.0018      6.58664 
     0.0018278      6.18546 
      0.001856      6.50964 
     0.0018847      7.16438 
     0.0019138      5.62358 
     0.0019433       6.3892 
     0.0019733      7.26631 
     0.0020038      12.1232 
     0.0020347      8.43629 
     0.0020748      9.17407 
     0.0021157      8.06358 
     0.0021575      9.20777 
        0.0022      8.97692 
       0.00225      21.0721 
     0.0022536      1.34159 
     0.0028371      1.55582 
     0.0035717      1.57546 
     0.0044965      1.40527 
     0.0056608      1.33142 
     0.0071265      1.34249 
     0.0089716      2.09578 
      0.011295      5.24339 
      0.014219      2.54687 
      0.017901      1.76358 
      0.022536      1.29573 
      0.028371      1.32238 
      0.035717      1.41632 
      0.044965      1.39663 
      0.056608      1.30961 
      0.071265      1.30849 
      0.089717      1.33362 
       0.11295      1.33112 
       0.14219      1.34829 
       0.17901      1.34812 
       0.22536      1.31561 
       0.28371      1.31721 
       0.35717      1.32546 
       0.44965      1.29557 
       0.56608       1.2966 
       0.71265      1.28027 
       0.89717      1.26906 
        1.1295        1.269 
        1.3357      1.27247 
        1.4987      1.26534 
        1.7901      1.27314 
        2.2536      1.26838 
        2.8371      1.28165 
        3.5717      1.27453 
        4.4965      1.27515 
        5.3177      1.29851 
        5.9665      1.35925 
        6.6946      1.35031 
        7.5114      1.37405 
        8.1787      1.38844 
        8.6633      1.39817 
        9.4563      1.39893 
         10.61       1.4667 
        11.553      1.57571 
        12.237      1.46494 
        13.357      1.29049 
        14.544        1.342 
        15.406        1.459 
        16.319      1.51649 
        17.286      1.46261 
        18.868      1.43016 
        22.536      1.48171 
            30      1.48171 
