#ldata:  527
#data...
#            X            Y
#          MeV            %
         1e-10      0.77165 
         5e-10     0.752832 
       7.5e-10     0.739555 
          1e-9     0.727754 
        1.2e-9     0.714837 
        1.5e-9     0.695478 
          2e-9     0.671926 
        2.5e-9     0.649696 
          3e-9     0.620564 
          4e-9      0.58701 
          5e-9     0.545966 
        7.5e-9      0.51444 
          1e-8      0.49816 
       1.45e-8     0.489282 
       1.85e-8     0.485133 
        2.1e-8     0.484124 
       2.53e-8      0.48659 
          3e-8     0.494766 
          4e-8     0.507765 
          5e-8       0.5197 
          6e-8     0.530819 
          7e-8     0.542288 
          8e-8     0.553011 
          9e-8     0.563274 
          1e-7      0.57979 
       1.25e-7     0.606134 
        1.5e-7     0.642068 
       1.75e-7     0.676911 
       1.84e-7     0.702686 
          2e-7     0.731007 
       2.25e-7     0.727499 
        2.5e-7     0.751287 
       2.75e-7     0.819593 
          3e-7     0.822033 
       3.25e-7     0.843668 
        3.5e-7     0.880569 
      3.668e-7     0.893749 
       3.75e-7     0.893326 
          4e-7     0.884569 
     4.1399e-7     0.863758 
        4.5e-7     0.837767 
          5e-7     0.830782 
     5.3158e-7     0.832368 
        5.5e-7      0.83756 
          6e-7     0.847592 
       6.25e-7     0.854337 
        6.5e-7     0.862752 
     6.8256e-7     0.870621 
          7e-7     0.878823 
        7.5e-7     0.891589 
          8e-7     0.905131 
        8.5e-7       0.9182 
     8.7643e-7     0.928669 
          9e-7     0.940552 
       9.25e-7     0.956562 
        9.5e-7     0.975235 
       9.75e-7     0.998081 
          1e-6      1.01578 
       1.01e-6      1.02552 
       1.02e-6      1.03519 
       1.03e-6      1.04446 
       1.04e-6      1.05359 
       1.05e-6      1.06304 
       1.06e-6      1.07366 
       1.07e-6      1.08731 
       1.08e-6      1.10796 
       1.09e-6      1.13971 
        1.1e-6       1.1819 
       1.11e-6      1.23612 
       1.12e-6      1.30117 
       1.13e-6      1.36778 
       1.14e-6      1.42517 
       1.15e-6      1.47297 
