#ldata:  290
#data...
#            X            Y
#          MeV            %
         1e-10     0.399288 
         5e-10     0.392904 
       7.5e-10     0.388779 
          1e-9     0.385563 
        1.2e-9     0.382599 
        1.5e-9     0.378406 
          2e-9     0.374591 
        2.5e-9     0.372099 
          3e-9      0.36976 
          4e-9     0.369295 
          5e-9     0.371521 
        7.5e-9     0.378029 
          1e-8     0.382794 
       2.53e-8     0.382263 
          3e-8      0.38138 
          4e-8     0.384732 
          5e-8     0.390672 
          6e-8     0.397364 
          7e-8     0.403355 
          8e-8     0.408287 
          9e-8     0.412224 
          1e-7     0.417673 
       1.25e-7     0.429603 
        1.5e-7     0.451562 
       1.75e-7     0.483486 
          2e-7     0.519611 
       2.25e-7     0.553083 
        2.5e-7     0.581193 
       2.75e-7     0.599646 
          3e-7     0.592605 
       3.25e-7     0.570126 
        3.5e-7     0.549155 
       3.75e-7     0.528332 
          4e-7     0.498113 
        4.5e-7     0.460911 
          5e-7     0.435036 
        5.5e-7     0.420239 
          6e-7     0.414713 
       6.25e-7     0.413066 
        6.5e-7     0.412517 
          7e-7     0.414314 
        7.5e-7     0.417751 
          8e-7     0.422078 
        8.5e-7     0.426829 
          9e-7     0.430727 
       9.25e-7     0.433324 
        9.5e-7     0.435976 
       9.75e-7     0.438668 
          1e-6      0.44057 
       1.01e-6     0.441649 
       1.02e-6     0.442737 
       1.03e-6      0.44382 
       1.04e-6      0.44491 
       1.05e-6     0.445996 
       1.06e-6     0.447087 
       1.07e-6     0.448173 
       1.08e-6     0.449222 
       1.09e-6     0.450221 
        1.1e-6     0.451392 
       1.11e-6     0.452485 
       1.12e-6     0.453488 
       1.13e-6     0.454646 
       1.14e-6     0.455731 
       1.15e-6     0.457574 
      1.175e-6     0.460235 
        1.2e-6     0.462885 
      1.225e-6     0.465514 
       1.25e-6     0.469336 
        1.3e-6      0.47433 
       1.35e-6     0.479151 
        1.4e-6     0.483773 
       1.45e-6      0.48816 
        1.5e-6     0.493805 
       1.59e-6     0.500515 
       1.68e-6      0.50651 
       1.77e-6     0.511744 
       1.86e-6     0.516015 
       1.94e-6     0.519078 
          2e-6     0.522322 
       2.12e-6       0.5255 
       2.21e-6      0.52761 
        2.3e-6     0.529176 
       2.38e-6     0.530349 
       2.47e-6     0.531143 
       2.57e-6     0.531557 
       2.67e-6     0.531624 
       2.77e-6     0.531351 
       2.87e-6     0.530754 
       2.97e-6     0.530193 
          3e-6     0.529565 
        3.1e-6     0.528202 
        3.2e-6     0.525178 
        3.5e-6     0.520199 
       3.73e-6     0.513525 
        4.1e-6     0.501266 
        4.7e-6     0.489327 
          5e-6     0.479527 
        5.4e-6     0.466103 
          6e-6     0.459489 
       6.25e-6     0.460898 
        6.5e-6     0.471889 
       6.75e-6     0.491021 
      6.875e-6     0.512308 
          7e-6     0.546615 
       7.15e-6     0.888539 
        8.1e-6     0.628859 
        9.1e-6     0.590024 
          1e-5     0.597362 
       1.15e-5     0.816497 
       1.19e-5     0.989703 
       1.29e-5     0.755538 
       1.44e-5     0.551878 
        1.6e-5     0.787531 
        1.7e-5     0.820962 
       1.85e-5      1.33452 
       1.94e-5      1.45352 
          2e-5      1.35952 
       2.05e-5       1.1612 
       2.12e-5       1.0817 
      2.175e-5     0.820203 
       2.25e-5      1.02832 
        2.5e-5      1.02464 
       2.75e-5      1.32798 
          3e-5      1.55518 
      3.125e-5      1.96144 
      3.175e-5      1.22334 
      3.325e-5      1.22503 
      3.375e-5      1.09822 
        3.5e-5      6.10326 
       3.55e-5      5.80218 
        3.6e-5      1.12777 
        3.7e-5      1.15846 
      3.713e-5      1.16414 
      3.727e-5      1.17421 
      3.763e-5      1.18847 
        3.8e-5      1.21612 
       3.91e-5      1.24742 
       3.96e-5      1.28714 
        4.1e-5      1.24422 
       4.24e-5      1.32769 
        4.4e-5      1.39621 
       4.52e-5     0.756048 
       4.83e-5      1.04073 
       5.06e-5      1.02789 
       5.34e-5      0.57212 
        5.8e-5     0.590475 
        6.1e-5     0.570605 
        6.3e-5     0.875059 
        6.5e-5     0.838014 
       6.75e-5     0.587973 
        7.2e-5     0.753325 
        7.6e-5       1.0368 
          8e-5     0.897759 
       8.17e-5      0.49134 
          9e-5     0.733143 
        9.7e-5      0.60921 
     0.0001012      1.28096 
      0.000105      1.38718 
      0.000108      2.40533 
      0.000113      1.21616 
      0.000116       1.2295 
     0.0001175      2.35298 
      0.000119      1.81314 
      0.000122     0.549591 
      0.000143     0.589844 
       0.00017      1.57044 
       0.00018     0.882749 
      0.000191      5.22694 
      0.000193     0.655133 
      0.000202     0.828317 
      0.000209      1.63201 
       0.00022      1.04828 
       0.00024     0.616359 
      0.000285      1.06202 
      0.000305     0.592409 
       0.00055     0.715044 
       0.00067      1.02785 
       0.00075     0.630558 
       0.00095      0.90388 
       0.00115     0.670273 
        0.0015     0.853866 
        0.0018      1.54037 
        0.0022     0.919083 
        0.0025      6.50925 
         0.005      1.46721 
         0.006       2.2306 
         0.007      1.07759 
         0.008       2.8531 
         0.009       1.0132 
       0.01225      1.48602 
        0.0175      1.77654 
         0.022      3.37959 
         0.027     0.992535 
        0.0375      1.74761 
          0.05       1.4018 
          0.06      1.00941 
          0.07     0.990985 
          0.08       1.4026 
          0.09      1.38534 
        0.0975      1.14187 
          0.11     0.873274 
         0.135     0.818593 
          0.16     0.927245 
         0.175      1.27735 
         0.185      1.15494 
         0.195       1.4659 
         0.205      1.54991 
         0.215       1.0625 
         0.225     0.977032 
         0.235       1.2482 
        0.2425      1.03317 
        0.2475      1.04337 
         0.255      1.07391 
         0.265     0.908318 
         0.275      1.16607 
          0.29     0.846511 
        0.3125      1.06566 
        0.3375     0.839148 
        0.3625      1.06355 
        0.3875      0.90867 
        0.4125      1.06297 
        0.4375      1.17493 
        0.4625     0.936595 
        0.4875     0.978946 
          0.51       1.0804 
          0.53     0.844148 
         0.555      1.06786 
         0.585     0.863625 
         0.625     0.965465 
         0.675     0.748564 
         0.725      1.32103 
         0.775     0.977193 
         0.825      1.10727 
         0.875     0.936543 
          0.92     0.989323 
          0.95      1.46162 
          0.97      1.00069 
          0.99     0.894007 
          1.05     0.680201 
         1.175      1.07065 
         1.325      1.10368 
           1.5      1.00494 
           1.7     0.792199 
           1.9      1.11397 
           2.1      1.05588 
           2.3     0.892092 
           2.5      1.11512 
           2.7      1.17682 
           2.9      1.47305 
           3.3     0.865596 
           3.8     0.942943 
          4.25     0.909959 
           4.6      1.28578 
          4.85     0.902559 
          5.15      1.15297 
           5.4     0.876768 
          5.65      1.03309 
           5.9      1.13153 
           6.1     0.975869 
          6.35      0.88068 
          6.75      1.17627 
          7.25      1.76439 
         7.625      1.16242 
         7.875       1.3765 
          8.25      1.07424 
          8.75      1.18533 
           9.5      1.27839 
          10.5      1.37183 
         11.25      1.27992 
         11.75      1.03268 
          12.5      1.38024 
          13.5      1.37689 
         14.25     0.889408 
         14.75      1.11697 
          15.5      1.74959 
          16.5      1.24957 
          17.5      1.23514 
          18.5      1.18006 
          19.5      1.41924 
          20.5      1.53109 
          21.5      2.44142 
          22.5      1.90171 
          23.5      1.77505 
          24.5      1.67857 
          25.5      1.79079 
          26.5      1.70138 
          27.5      1.91954 
          28.5      3.14456 
          29.5      2.22156 
         100.0      2.22156 
