#EN-MIN      EN-MAX      DATA      1 DATA      2 ERR-2       ERR-3       ERR-4       MISC        
#EV          EV          NO-DIM      B           PER-CENT    PER-CENT    PER-CENT    SEE TEXT    
1.78e-02    2.00e-02    0.639       694.07      0.63        0.18        0.0         0.66        
2.00e-02    2.24e-02    0.628       643.14      0.60        0.17        0.0         0.62        
2.24e-02    2.51e-02    0.623       602.93      0.57        0.16        0.0         0.59        
2.51e-02    2.82e-02    0.624       570.69      0.54        0.15        0.0         0.56        
2.82e-02    3.16e-02    0.618       533.29      0.51        0.14        0.0         0.53        
3.16e-02    3.55e-02    0.606       493.36      0.50        0.14        0.0         0.52        
3.55e-02    3.98e-02    0.608       467.64      0.48        0.13        0.0         0.50        
3.98e-02    4.47e-02    0.602       437.21      0.47        0.13        0.0         0.49        
4.47e-02    5.01e-02    0.600       411.06      0.47        0.13        0.0         0.49        
5.01e-02    5.62e-02    0.588       380.15      0.46        0.13        0.0         0.48        
5.62e-02    6.31e-02    0.581       354.89      0.46        0.13        0.0         0.48        
6.31e-02    7.08e-02    0.575       331.46      0.47        0.13        0.0         0.49        
7.08e-02    7.94e-02    0.571       310.92      0.48        0.13        0.0         0.49        
7.94e-02    8.91e-02    0.567       291.45      0.49        0.13        0.0         0.50        
8.91e-02    1.00e-01    0.550       266.77      0.50        0.13        0.0         0.52        
1.00e-01    1.12e-01    0.542       248.33      0.52        0.14        0.0         0.54        
1.12e-01    1.26e-01    0.532       229.90      0.54        0.14        0.0         0.56        
1.26e-01    1.41e-01    0.531       216.60      0.55        0.14        0.0         0.57        
1.41e-01    1.58e-01    0.523       201.30      0.57        0.15        0.0         0.59        
1.58e-01    1.78e-01    0.526       191.20      0.58        0.15        0.0         0.60        
1.78e-01    2.00e-01    0.535       183.61      0.58        0.15        0.0         0.60        
2.00e-01    2.24e-01    0.559       181.06      0.58        0.15        0.0         0.60        
2.24e-01    2.51e-01    0.607       185.66      0.56        0.15        0.0         0.58        
2.51e-01    2.82e-01    0.682       197.06      0.53        0.16        0.0         0.56        
2.82e-01    3.16e-01    0.719       196.16      0.52        0.16        0.0         0.54        
3.16e-01    3.55e-01    0.655       168.63      0.55        0.16        0.0         0.57        
