#EN-MIN      EN-MAX      DATA      1 DATA      2 ERR-2       ERR-3       ERR-4       MISC        
#EV          EV          NO-DIM      B           PER-CENT    PER-CENT    PER-CENT    SEE TEXT    
3.55e-01    3.98e-01    0.547       133.11      0.61        0.16        0.0         0.63        
3.98e-01    4.47e-01    0.472       108.24      0.66        0.16        0.0         0.68        
4.47e-01    5.01e-01    0.419       90.82       0.71        0.16        0.0         0.73        
5.01e-01    5.62e-01    0.382       78.05       0.76        0.17        0.0         0.77        
5.62e-01    6.31e-01    0.356       68.69       0.80        0.17        0.0         0.81        
6.31e-01    7.08e-01    0.336       61.31       0.83        0.17        0.0         0.85        
7.08e-01    7.94e-01    0.335       57.65       0.85        0.17        0.0         0.86        
7.94e-01    8.91e-01    0.343       55.70       0.85        0.18        0.0         0.87        
8.91e-01    1.00e+00    0.404       61.93       0.80        0.18        0.0         0.82        
1.00e+00    1.12e+00    0.623       90.05       0.65        0.18        0.0         0.68        
1.12e+00    1.26e+00    0.529       72.43       0.72        0.19        0.0         0.75        
1.26e+00    1.41e+00    0.178       22.98       1.26        0.19        0.0         1.28        
1.41e+00    1.58e+00    0.137       16.70       1.47        0.19        0.0         1.48        
1.58e+00    1.78e+00    0.129       14.84       1.54        0.20        0.0         1.55        
1.78e+00    2.00e+00    0.137       14.85       1.52        0.20        0.0         1.54        
2.00e+00    2.24e+00    0.167       17.16       1.40        0.20        0.0         1.42        
2.24e+00    2.51e+00    0.111       10.74       1.76        0.21        0.0         1.77        
2.51e+00    2.82e+00    0.100       9.15        1.88        0.21        0.0         1.90        
2.82e+00    3.16e+00    0.351       30.15       1.03        0.22        0.0         1.05        
3.16e+00    3.55e+00    0.353       28.69       1.05        0.22        0.0         1.07        
3.55e+00    3.98e+00    0.390       29.92       1.02        0.22        0.0         1.07        
3.98e+00    4.47e+00    0.038       2.72        3.35        0.23        0.0         3.35        
4.47e+00    5.01e+00    0.114       7.80        1.96        0.23        0.0         1.99        
5.01e+00    5.62e+00    0.165       10.64       1.66        0.24        0.0         1.68        
5.62e+00    6.31e+00    0.459       27.93       1.02        0.24        0.0         1.06        
6.31e+00    7.08e+00    0.677       39.06       0.86        0.25        0.0         0.93        
7.08e+00    7.94e+00    0.235       12.86       1.49        0.26        0.0         1.57        
7.94e+00    8.91e+00    3.011       153.59      0.42        0.26        0.0         0.62        
8.91e+00    1.00e+01    1.428       69.42       0.63        0.27        0.0         0.71        
1.00e+01    1.12e+01    0.386       17.72       1.24        0.27        0.0         1.28        
1.12e+01    1.26e+01    1.846       79.93       0.58        0.28        0.0         0.75        
1.26e+01    1.41e+01    1.005       40.86       0.81        0.29        0.0         0.87        
1.41e+01    1.58e+01    0.749       28.86       0.96        0.29        0.0         1.02        
1.58e+01    1.78e+01    0.688       25.06       1.02        0.30        0.0         1.10        
1.78e+01    2.00e+01    3.330       114.45      0.48        0.31        0.0         0.70        
2.00e+01    2.24e+01    1.079       34.66       0.86        0.32        0.0         1.01        
2.24e+01    2.51e+01    1.627       49.72       0.72        0.32        0.0         0.81        
2.51e+01    2.82e+01    1.547       44.48       0.75        0.33        0.0         0.84        
2.82e+01    3.16e+01    0.475       12.96       1.39        0.34        0.0         1.46        
3.16e+01    3.55e+01    4.022       102.81      0.49        0.35        0.0         0.68        
3.55e+01    3.98e+01    1.413       34.15       0.85        0.36        0.0         0.98        
3.98e+01    4.47e+01    1.439       32.95       0.86        0.37        0.0         0.95        
4.47e+01    5.01e+01    1.606       34.80       0.83        0.37        0.0         0.94        
5.01e+01    5.62e+01    3.293       67.30       0.60        0.38        0.0         0.75        
5.62e+01    6.31e+01    2.276       43.96       0.74        0.39        0.0         0.92        
6.31e+01    7.08e+01    1.104       20.12       1.09        0.40        0.0         1.30        
7.08e+01    7.94e+01    1.611       27.88       0.92        0.41        0.0         1.05        
7.94e+01    8.91e+01    1.771       28.81       0.90        0.42        0.0         1.03        
8.91e+01    1.00e+02    1.476       22.64       1.01        0.44        0.0         1.12        
1.00e+02    1.12e+02    1.203       17.33       1.15        0.45        0.0         1.26        
1.12e+02    1.26e+02    1.701       23.21       0.99        0.46        0.0         1.13        
1.26e+02    1.41e+02    2.074       26.71       0.92        0.47        0.0         1.08        
1.41e+02    1.58e+02    1.590       19.32       1.08        0.48        0.0         1.21        
1.58e+02    1.78e+02    2.053       23.44       0.98        0.50        0.0         1.13        
1.78e+02    2.00e+02    1.535       16.61       1.16        0.51        0.0         1.30        
2.00e+02    2.24e+02    2.172       22.16       1.01        0.53        0.0         1.16        
2.24e+02    2.51e+02    2.199       21.20       1.02        0.54        0.0         1.17        
2.51e+02    2.82e+02    2.772       25.29       0.93        0.55        0.0         1.11        
2.82e+02    3.16e+02    1.327       11.44       1.38        0.56        0.0         1.53        
3.16e+02    3.55e+02    1.973       16.15       1.29        0.64        0.0         1.46        
3.55e+02    3.98e+02    1.488       11.39       1.42        0.61        0.0         1.56        
3.98e+02    4.47e+02    1.878       13.61       1.26        0.61        0.0         1.42        
4.47e+02    5.01e+02    1.986       13.51       1.26        0.63        0.0         1.43        
5.01e+02    5.62e+02    2.316       14.89       1.19        0.64        0.0         1.37        
5.62e+02    6.31e+02    2.250       13.66       1.24        0.66        0.0         1.42        
6.31e+02    7.08e+02    1.923       11.07       1.38        0.68        0.0         1.56        
7.08e+02    7.94e+02    2.099       11.40       1.36        0.70        0.0         1.54        
7.94e+02    8.91e+02    1.546       7.92        1.61        0.71        0.0         1.77        
8.91e+02    1.00e+03    1.588       7.70        1.63        0.73        0.0         1.80        
1.00e+03    1.12e+03    1.729       7.92        1.63        0.76        1.0         1.82        
1.12e+03    1.26e+03    2.149       9.24        1.49        0.78        1.0         1.69        
1.26e+03    1.41e+03    1.917       7.80        1.62        0.80        1.0         1.81        
1.41e+03    1.58e+03    1.687       6.46        1.76        0.81        1.0         1.95        
1.58e+03    1.78e+03    1.839       6.67        1.74        0.84        1.0         1.93        
1.78e+03    2.00e+03    1.946       6.65        1.75        0.87        1.0         1.96        
2.00e+03    2.24e+03    1.728       5.62        1.97        0.92        1.0         2.20        
2.24e+03    2.51e+03    1.944       5.93        1.95        0.96        1.0         2.18        
2.51e+03    2.82e+03    1.895       5.46        1.97        0.96        1.0         2.20        
2.82e+03    3.16e+03    1.887       5.12        1.99        0.97        1.0         2.22        
3.16e+03    3.55e+03    1.904       4.88        2.02        0.99        1.0         2.26        
3.55e+03    3.98e+03    1.823       4.41        2.10        1.01        1.0         2.34        
3.98e+03    4.47e+03    1.973       4.51        2.07        1.03        1.0         2.31        
4.47e+03    5.01e+03    1.917       4.14        2.16        1.06        1.0         2.42        
5.01e+03    5.62e+03    1.853       3.78        2.22        1.07        1.0         2.47        
5.62e+03    6.31e+03    1.795       3.46        2.42        1.15        1.0         2.76        
6.31e+03    7.08e+03    1.825       3.32        2.36        1.13        1.0         2.62        
7.08e+03    7.94e+03    1.858       3.20        2.43        1.18        1.0         2.70        
7.94e+03    8.91e+03    1.864       3.03        2.47        1.20        1.0         2.76        
8.91e+03    1.00e+04    1.900       2.92        2.47        1.21        1.0         2.76        
1.00e+04    1.12e+04    1.881       2.73        2.53        1.23        1.0         2.82        
1.12e+04    1.26e+04    1.886       2.59        2.57        1.26        1.0         2.87        
1.26e+04    1.41e+04    2.041       2.65        2.52        1.28        1.0         2.83        
1.41e+04    1.58e+04    1.952       2.40        2.63        1.31        1.0         2.94        
1.58e+04    1.78e+04    1.949       2.27        2.67        1.33        1.0         2.99        
1.78e+04    2.00e+04    2.198       2.42        2.55        1.35        1.0         2.90        
2.00e+04    2.24e+04    2.131       2.23        2.62        1.37        1.0         2.97        
2.24e+04    2.51e+04    2.095       2.08        2.67        1.38        1.0         3.01        
2.51e+04    2.82e+04    2.186       2.06        2.61        1.38        1.0         2.97        
2.82e+04    3.16e+04    2.370       2.13        2.48        1.37        1.0         2.85        
3.16e+04    3.55e+04    2.386       2.08        3.14        1.72        1.0         3.85        
3.55e+04    3.98e+04    2.223       1.82        3.47        1.83        1.0         4.03        
3.98e+04    4.47e+04    2.410       1.87        2.90        1.61        1.0         3.33        
4.47e+04    5.01e+04    2.512       1.87        2.72        1.54        1.0         3.13        
5.01e+04    5.62e+04    2.542       1.82        2.69        1.53        1.0         3.10        
5.62e+04    6.31e+04    2.655       1.83        2.54        1.48        1.0         2.95        
6.31e+04    7.08e+04    2.595       1.74        2.50        1.44        1.0         2.90        
7.08e+04    7.94e+04    2.454       1.60        2.50        1.40        1.0         2.87        
7.94e+04    8.91e+04    2.517       1.64        2.99        1.68        1.0         3.49        
8.91e+04    1.00e+05    2.518       1.64        2.89        1.62        1.0         3.36        
1.00e+05    1.12e+05    2.412       1.60        2.49        1.38        1.0         2.85        
1.12e+05    1.26e+05    2.099       1.48        2.48        1.27        1.0         2.84        
1.26e+05    1.41e+05    1.807       1.39        2.31        1.09        1.0         2.57        
1.41e+05    1.58e+05    1.465       1.31        2.77        1.16        1.0         3.01        
1.58e+05    1.78e+05    1.249       1.44        2.44        0.93        1.0         2.65        

