#EN-MIN      EN-MAX      DATA        ERR-S       ERR-3       ERR-4       MISC        
#KEV         KEV         MB          MB          PER-CENT    PER-CENT    NO-DIM      
3.          6.          1026.       8.9636      4.5         3.0         1.0309      
6.          9.          811.        10.3406     4.5         3.0         1.0350      
9.          12.         651.        10.3441     4.5         3.0         1.0330      
12.         15.         634.        11.4595     4.5         3.0         1.0330      
15.         18.         585.        11.8854     4.5         3.0         1.0346      
18.         21.         541.        12.0580     4.5         3.0         1.0333      
21.         24.         461.        11.6140     4.5         3.0         1.0321      
24.         27.         446.        12.5137     4.5         3.0         1.0316      
27.         30.         447.        12.2569     4.5         3.0         1.0325      
30.         35.         440.        12.9528     4.5         3.0         1.0433      
35.         40.         390.        15.3661     4.5         3.0         1.0484      
40.         45.         386.        11.7462     4.5         3.0         1.0356      
45.         50.         336.        10.6194     4.5         3.0         1.0338      
50.         55.         301.        10.2271     4.5         3.0         1.0342      
55.         60.         263.        10.1233     4.5         3.0         1.0332      
60.         65.         259.        9.5294      4.5         3.0         1.0347      
65.         70.         235.        9.1976      4.5         3.0         1.0333      
70.         75.         209.        8.7905      4.5         3.0         1.0342      
75.         80.         201.        9.2020      4.5         3.0         1.0375
