Bin Lower Edge (MeV)	Stats (%)	Variational (%)	Wraparound (%)	Efficiency (%)	Contamination (%)	Overlap (%)	Attenuation (%)	Normalization (%)
25.12	0.51	0.21	0.0075	0.22	0.014	0.35	0.084	0.27
26.61	0.51	0.22	0.0075	0.23	0.011	0.42	0.08	0.27
28.18	0.51	0.24	0.0071	0.2	0.007	0.43	0.083	0.27
29.85	0.51	0.2	0.0073	0.21	0.0056	0.44	0.099	0.27
31.62	0.52	0.26	0.0069	0.22	0.0056	0.41	0.093	0.27
33.5	0.52	0.21	0.0066	0.24	0.0056	0.33	0.095	0.27
35.48	0.52	0.18	0.0067	0.22	0.0056	0.44	0.087	0.27
37.58	0.53	0.29	0.0065	0.22	0.0056	0.38	0.096	0.27
39.81	0.54	0.24	0.0066	0.22	0.0056	0.43	0.096	0.27
42.17	0.54	0.22	0.0064	0.21	0.0056	0.38	0.084	0.27
44.67	0.54	0.24	0.0062	0.23	0.0056	0.45	0.092	0.27
47.32	0.56	0.24	0.0062	0.21	0.0056	0.37	0.12	0.27
50.12	0.57	0.36	0.006	0.22	0.0056	0.48	0.11	0.27
53.09	0.57	0.24	0.0061	0.22	0.0056	0.41	0.11	0.27
56.23	0.58	0.24	0.006	0.19	0.0056	0.46	0.095	0.27
59.57	0.58	0.21	0.0064	0.2	0.0056	0.39	0.1	0.27
63.1	0.59	0.21	0.0066	0.21	0.0056	0.48	0.12	0.27
66.83	0.61	0.26	0.0064	0.22	0.0056	0.45	0.1	0.27
70.79	0.63	0.25	0.0064	0.25	0.0056	0.42	0.11	0.27
74.99	0.65	0.28	0.0068	0.21	0.0056	0.44	0.1	0.27
79.43	0.66	0.24	0.007	0.21	0.0056	0.62	0.1	0.27
84.14	0.68	0.27	0.0071	0.2	0.0056	0.43	0.1	0.27
89.13	0.69	0.25	0.0073	0.21	0.0056	0.49	0.1	0.27
94.41	0.74	0.28	0.0076	0.22	0.0056	0.53	0.11	0.27
