Bin Lower Edge (MeV)	Stats (%)	Variational (%)	Wraparound (%)	Efficiency (%)	Contamination (%)	Overlap (%)	Attenuation (%)	Normalization (%)
0.1059	1.2	0.49	0.38	0.21	0.099	0.72	0.14	0.27
0.1122	1.1	0.53	0.28	0.21	0.12	0.59	0.13	0.27
0.1189	1.1	0.39	0.24	0.21	0.13	0.66	0.14	0.27
0.1259	0.98	0.38	0.2	0.2	0.11	0.56	0.13	0.27
0.1334	0.92	0.34	0.17	0.24	0.082	0.54	0.13	0.27
0.1413	0.97	0.37	0.19	0.22	0.057	0.53	0.15	0.27
0.1496	0.84	0.29	0.16	0.19	0.057	0.52	0.13	0.27
0.1585	0.82	0.3	0.17	0.18	0.064	0.55	0.12	0.27
0.1679	0.78	0.25	0.17	0.19	0.066	0.49	0.11	0.27
0.1778	0.74	0.26	0.15	0.23	0.06	0.53	0.1	0.27
0.1884	0.75	0.28	0.16	0.25	0.053	0.52	0.11	0.27
0.1995	0.68	0.24	0.14	0.21	0.051	0.53	0.1	0.27
0.2113	0.67	0.28	0.14	0.24	0.053	0.41	0.088	0.27
0.2239	0.64	0.27	0.14	0.22	0.055	0.51	0.089	0.27
0.2371	0.62	0.27	0.14	0.19	0.055	0.48	0.096	0.27
0.2512	0.59	0.29	0.13	0.21	0.053	0.43	0.1	0.27
0.2661	0.56	0.22	0.12	0.21	0.05	0.42	0.068	0.27
0.2818	0.56	0.23	0.11	0.19	0.049	0.39	0.074	0.27
0.2985	0.51	0.24	0.096	0.21	0.049	0.35	0.079	0.27
0.3162	0.51	0.27	0.097	0.21	0.05	0.43	0.073	0.27
0.335	0.47	0.24	0.084	0.23	0.049	0.41	0.068	0.27
0.3548	0.47	0.22	0.08	0.2	0.048	0.41	0.075	0.27
0.3758	0.44	0.22	0.075	0.22	0.047	0.39	0.094	0.27
0.3981	0.44	0.21	0.07	0.23	0.048	0.35	0.062	0.27
0.4217	0.43	0.25	0.068	0.21	0.048	0.37	0.067	0.27
0.4467	0.41	0.23	0.061	0.23	0.049	0.33	0.058	0.27
0.4732	0.4	0.24	0.058	0.21	0.05	0.32	0.06	0.27
0.5012	0.37	0.24	0.053	0.21	0.05	0.23	0.061	0.27
0.5309	0.37	0.23	0.046	0.19	0.05	0.28	0.06	0.27
0.5623	0.36	0.24	0.044	0.21	0.05	0.3	0.07	0.27
0.5957	0.35	0.22	0.041	0.2	0.05	0.27	0.055	0.27
0.631	0.33	0.24	0.038	0.21	0.05	0.26	0.062	0.27
0.6683	0.33	0.22	0.035	0.22	0.05	0.28	0.056	0.27
0.7079	0.32	0.2	0.033	0.2	0.049	0.27	0.057	0.27
0.7499	0.31	0.25	0.032	0.22	0.049	0.29	0.049	0.27
0.7943	0.31	0.22	0.029	0.2	0.05	0.29	0.056	0.27
0.8414	0.3	0.2	0.026	0.23	0.049	0.27	0.041	0.27
0.8913	0.3	0.22	0.025	0.21	0.048	0.29	0.041	0.27
0.9441	0.29	0.26	0.023	0.21	0.046	0.25	0.043	0.27
1	0.29	0.22	0.023	0.24	0.046	0.24	0.041	0.27
1.059	0.29	0.22	0.021	0.22	0.046	0.28	0.042	0.27
1.122	0.28	0.25	0.021	0.24	0.046	0.22	0.049	0.27
1.189	0.28	0.24	0.018	0.22	0.045	0.27	0.044	0.27
1.259	0.28	0.25	0.019	0.2	0.044	0.2	0.045	0.27
1.334	0.27	0.23	0.018	0.23	0.043	0.24	0.036	0.27
1.413	0.27	0.23	0.016	0.22	0.042	0.23	0.045	0.27
1.496	0.27	0.23	0.016	0.2	0.041	0.3	0.088	0.27
1.585	0.27	0.25	0.016	0.22	0.04	0.24	0.042	0.27
1.679	0.27	0.24	0.016	0.22	0.039	0.25	0.043	0.27
1.778	0.27	0.22	0.015	0.2	0.038	0.25	0.051	0.27
1.884	0.27	0.24	0.014	0.18	0.036	0.2	0.039	0.27
1.995	0.27	0.26	0.014	0.22	0.035	0.28	0.045	0.27
2.113	0.28	0.25	0.013	0.18	0.034	0.28	0.05	0.27
2.239	0.27	0.24	0.013	0.22	0.033	0.29	0.04	0.27
2.371	0.28	0.24	0.013	0.2	0.032	0.24	0.044	0.27
2.512	0.28	0.25	0.013	0.24	0.031	0.23	0.034	0.27
2.661	0.28	0.21	0.012	0.21	0.029	0.24	0.042	0.27
2.818	0.29	0.22	0.012	0.25	0.028	0.25	0.051	0.27
2.985	0.29	0.23	0.012	0.22	0.027	0.28	0.043	0.27
3.162	0.29	0.21	0.012	0.2	0.026	0.28	0.044	0.27
3.35	0.3	0.26	0.012	0.19	0.025	0.26	0.041	0.27
3.548	0.3	0.23	0.012	0.24	0.023	0.3	0.049	0.27
3.758	0.3	0.23	0.012	0.19	0.022	0.26	0.046	0.27
3.981	0.31	0.23	0.012	0.24	0.021	0.27	0.045	0.27
4.217	0.32	0.22	0.012	0.24	0.02	0.24	0.043	0.27
4.467	0.32	0.25	0.012	0.23	0.02	0.29	0.04	0.27
4.732	0.33	0.23	0.012	0.18	0.02	0.31	0.039	0.27
5.012	0.34	0.22	0.013	0.21	0.021	0.32	0.043	0.27
5.309	0.35	0.2	0.012	0.23	0.022	0.38	0.038	0.27
5.623	0.36	0.23	0.013	0.22	0.023	0.3	0.04	0.27
5.957	0.35	0.22	0.012	0.23	0.022	0.3	0.044	0.27
6.31	0.34	0.2	0.0099	0.23	0.02	0.27	0.042	0.27
6.683	0.33	0.22	0.0086	0.22	0.018	0.35	0.049	0.27
7.079	0.33	0.28	0.008	0.22	0.017	0.29	0.058	0.27
7.499	0.33	0.23	0.0076	0.21	0.016	0.29	0.053	0.27
7.943	0.34	0.26	0.0076	0.17	0.015	0.27	0.062	0.27
8.414	0.35	0.2	0.0077	0.2	0.015	0.32	0.057	0.27
8.913	0.36	0.24	0.0079	0.2	0.014	0.29	0.055	0.27
9.441	0.37	0.21	0.0082	0.22	0.015	0.31	0.053	0.27
10	0.38	0.24	0.0087	0.21	0.016	0.31	0.054	0.27
10.59	0.4	0.26	0.0089	0.23	0.018	0.31	0.056	0.27
11.22	0.42	0.23	0.0095	0.2	0.022	0.39	0.059	0.27
11.89	0.43	0.2	0.0093	0.19	0.026	0.41	0.074	0.27
12.59	0.44	0.22	0.0092	0.2	0.027	0.34	0.069	0.27
13.34	0.44	0.24	0.0087	0.19	0.029	0.35	0.065	0.27
14.13	0.45	0.25	0.0087	0.23	0.031	0.4	0.072	0.27
14.96	0.45	0.32	0.0085	0.21	0.031	0.42	0.065	0.27
15.85	0.47	0.23	0.0083	0.21	0.031	0.42	0.071	0.27
16.79	0.48	0.22	0.0084	0.19	0.029	0.35	0.066	0.27
17.78	0.48	0.22	0.0081	0.24	0.023	0.32	0.08	0.27
18.84	0.49	0.32	0.0088	0.21	0.016	0.39	0.092	0.27
19.95	0.5	0.22	0.0084	0.2	0.016	0.39	0.084	0.27
21.13	0.5	0.26	0.0083	0.24	0.016	0.4	0.079	0.27
22.39	0.5	0.25	0.0082	0.2	0.016	0.45	0.087	0.27
23.71	0.5	0.26	0.0079	0.19	0.016	0.38	0.08	0.27
