#ldata:  70
#data...
#            X            Y
#          MeV            %
4.7127e-06 2.60915326279
7.97e-05 2.69829252169
0.0002 2.69848229207
0.0003 2.78777656194
0.0004 2.78775883903
0.0005 2.87755470072
0.0006 2.87748545444
0.0007 2.96789720935
0.0008 2.9678298259
0.0009 2.97915944725
0.001225 3.15980944847
0.002 3.45968610215
0.003 3.73345727611
0.004 3.95240854344
0.005 4.13138238088
0.006 4.33768168225
0.007 4.56219358937
0.008 4.67534148034
0.009 4.88104599988
0.01225 5.30810217875
0.0175 5.36012968175
0.022 5.2402258707
0.027 4.93983385931
0.0375 5.34060054534
0.05 7.99443238766
0.06 11.6208561204
0.07 15.7718814035
0.08 19.6547845758
0.09 23.2849761972
0.0975 24.9505309343
0.11 29.2282386261
0.135 29.0550804073
0.16 25.6834593936
0.175 23.52086351
0.185 21.7048357997
0.195 20.0997234434
0.205 18.9841847781
0.215 18.4092854845
0.225 18.1631427526
0.2325 18.1356685978
0.2375 18.1603717363
0.2425 18.2646846107
0.2475 18.3792825282
0.255 18.93935042
0.265 19.9072860441
0.275 21.5523008238
0.29 27.3952159665
0.3125 39.053766053
0.3375 52.6773656404
0.3625 63.6160200882
0.3875 66.1989498965
0.4125 57.1191694977
0.4375 39.7726500857
0.4625 24.1178336573
0.4875 18.6037880285
0.51 21.1305366655
0.53 26.4215629199
0.555 34.291383115
0.585 39.7604973511
0.625 44.193909151
0.675 46.6577996348
0.725 49.3052471368
0.775 44.4315968612
0.825 42.0608325561
0.875 39.1789171766
0.92 37.0040370481
0.95 35.8538987237
0.97 34.8094922429
0.99 33.8201401044
1.01 33.8201401044
