#EN-MIN      EN-MAX      DATA      1 ERR-S     1 DATA      2 ERR-S     2 
#EV          EV          NO-DIM      NO-DIM      B           B           
7.94328e+5  8.12831e+5  4.47327e-3  5.39160e-4  4.97328e-3  5.99426e-4  
8.12831e+5  8.31764e+5  4.01037e-3  5.13169e-4  4.47002e-3  5.71986e-4  
8.31764e+5  8.51138e+5  5.23850e-3  5.80673e-4  5.85700e-3  6.49232e-4  
8.51138e+5  8.70964e+5  8.67068e-3  7.55598e-4  9.75390e-3  8.49994e-4  
8.70964e+5  8.91251e+5  1.22755e-2  8.64500e-4  1.39277e-2  9.80856e-4  
8.91251e+5  9.12011e+5  1.00181e-2  7.42415e-4  1.14742e-2  8.50325e-4  
9.12011e+5  9.33254e+5  1.32964e-2  8.83329e-4  1.54267e-2  1.02486e-3  
9.33254e+5  9.54993e+5  1.29905e-2  9.16039e-4  1.53086e-2  1.07950e-3  
9.54993e+5  9.77237e+5  1.38246e-2  9.83346e-4  1.65851e-2  1.17970e-3  
9.77237e+5  1.00000e+6  1.41109e-2  1.01151e-3  1.70087e-2  1.21923e-3  
1.00000e+6  1.02329e+6  1.40812e-2  1.02186e-3  1.69347e-2  1.22894e-3  
1.02329e+6  1.04713e+6  1.45115e-2  9.76468e-4  1.74120e-2  1.17164e-3  
1.04713e+6  1.07152e+6  1.89795e-2  1.05188e-3  2.27303e-2  1.25976e-3  
1.07152e+6  1.09648e+6  2.38806e-2  1.14672e-3  2.85473e-2  1.37081e-3  
1.09648e+6  1.12202e+6  2.62107e-2  1.23642e-3  3.13253e-2  1.47768e-3  
1.12202e+6  1.14815e+6  2.91208e-2  1.28072e-3  3.48898e-2  1.53444e-3  
1.14815e+6  1.17490e+6  3.35227e-2  1.38955e-3  4.02675e-2  1.66913e-3  
1.17490e+6  1.20226e+6  3.79379e-2  1.42053e-3  4.56910e-2  1.71083e-3  
1.20226e+6  1.23027e+6  3.38224e-2  1.29564e-3  4.08439e-2  1.56462e-3  
1.23027e+6  1.25893e+6  3.77874e-2  1.40179e-3  4.57573e-2  1.69745e-3  
1.25893e+6  1.28825e+6  4.79225e-2  1.64913e-3  5.81926e-2  2.00255e-3  
1.28825e+6  1.31826e+6  5.95191e-2  1.99826e-3  7.24809e-2  2.43343e-3  
1.31826e+6  1.34896e+6  8.26934e-2  2.31579e-3  1.00996e-1  2.82834e-3  
1.34896e+6  1.38038e+6  1.11966e-1  2.67806e-3  1.37154e-1  3.28053e-3  
1.38038e+6  1.41254e+6  1.61171e-1  3.47665e-3  1.98028e-1  4.27170e-3  
1.41254e+6  1.44544e+6  2.03160e-1  3.98428e-3  2.50391e-1  4.91057e-3  
1.44544e+6  1.47911e+6  2.63749e-1  4.92801e-3  3.26097e-1  6.09294e-3  
1.47911e+6  1.51356e+6  2.87552e-1  5.06027e-3  3.56730e-1  6.27766e-3  
1.51356e+6  1.54882e+6  3.03303e-1  5.26613e-3  3.77594e-1  6.55601e-3  
1.54882e+6  1.58489e+6  3.10928e-1  5.15650e-3  3.88474e-1  6.44254e-3  
1.58489e+6  1.62181e+6  3.16003e-1  5.33585e-3  3.96259e-1  6.69101e-3  
1.62181e+6  1.65959e+6  3.33965e-1  5.83015e-3  4.20226e-1  7.33603e-3  
1.65959e+6  1.69824e+6  3.46711e-1  6.04517e-3  4.37401e-1  7.62643e-3  
1.69824e+6  1.73780e+6  3.53944e-1  6.27431e-3  4.47687e-1  7.93608e-3  
1.73780e+6  1.77828e+6  3.74518e-1  6.27106e-3  4.74969e-1  7.95304e-3  
1.77828e+6  1.81970e+6  3.91617e-1  6.23585e-3  4.97997e-1  7.92977e-3  
1.81970e+6  1.86209e+6  4.07377e-1  6.66848e-3  5.19470e-1  8.50337e-3  
1.86209e+6  1.90546e+6  4.06028e-1  6.91897e-3  5.19210e-1  8.84765e-3  
1.90546e+6  1.94984e+6  4.18220e-1  7.21793e-3  5.36339e-1  9.25652e-3  
1.94984e+6  1.99526e+6  4.14359e-1  6.75815e-3  5.32947e-1  8.69232e-3  
1.99526e+6  2.04174e+6  4.11683e-1  7.04193e-3  5.30062e-1  9.06683e-3  
2.04174e+6  2.08930e+6  4.13467e-1  6.98577e-3  5.31406e-1  8.97843e-3  
2.08930e+6  2.13796e+6  4.23565e-1  7.04108e-3  5.43372e-1  9.03267e-3  
2.13796e+6  2.18776e+6  4.30863e-1  7.39341e-3  5.51679e-1  9.46656e-3  
2.18776e+6  2.23872e+6  4.22978e-1  7.10644e-3  5.40521e-1  9.08128e-3  
2.23872e+6  2.29087e+6  4.38263e-1  7.61243e-3  5.58900e-1  9.70783e-3  
2.29087e+6  2.34423e+6  4.30455e-1  7.32233e-3  5.47614e-1  9.31529e-3  
2.34423e+6  2.39883e+6  4.12560e-1  6.90174e-3  5.23519e-1  8.75798e-3  
2.39883e+6  2.45471e+6  4.40936e-1  7.58283e-3  5.58077e-1  9.59732e-3  
2.45471e+6  2.51189e+6  4.17636e-1  7.57239e-3  5.27193e-1  9.55883e-3  
