#EN-MIN      EN-MAX      DATA      1 ERR-S     1 DATA      2 ERR-S     2 
#EV          EV          NO-DIM      NO-DIM      B           B           
2.51189e+6  2.57040e+6  4.44129e-1  8.23148e-3  5.59207e-1  1.03643e-2  
2.57040e+6  2.63027e+6  4.21133e-1  8.05149e-3  5.28882e-1  1.01115e-2  
2.63027e+6  2.69153e+6  4.33212e-1  8.50316e-3  5.42239e-1  1.06432e-2  
2.69153e+6  2.75423e+6  4.39785e-1  8.63886e-3  5.48019e-1  1.07649e-2  
2.75423e+6  2.81838e+6  4.40511e-1  8.82893e-3  5.46411e-1  1.09514e-2  
2.81838e+6  2.88403e+6  4.15757e-1  8.44317e-3  5.13144e-1  1.04209e-2  
2.88403e+6  2.95121e+6  4.30344e-1  9.00786e-3  5.27991e-1  1.10518e-2  
2.95121e+6  3.01995e+6  4.40885e-1  9.46339e-3  5.37581e-1  1.15389e-2  
3.01995e+6  3.09030e+6  4.35953e-1  9.38021e-3  5.28384e-1  1.13690e-2  
3.09030e+6  3.16228e+6  4.40302e-1  9.78636e-3  5.30991e-1  1.18021e-2  
3.16228e+6  3.23594e+6  4.40074e-1  1.02504e-2  5.28038e-1  1.22993e-2  
3.23594e+6  3.31131e+6  4.47872e-1  1.09746e-2  5.34603e-1  1.30998e-2  
3.31131e+6  3.38844e+6  4.60114e-1  1.14369e-2  5.46284e-1  1.35788e-2  
3.38844e+6  3.46737e+6  4.56090e-1  1.13400e-2  5.38531e-1  1.33897e-2  
3.46737e+6  3.54813e+6  4.42326e-1  1.12914e-2  5.19326e-1  1.32570e-2  
3.54813e+6  3.63078e+6  5.02944e-1  1.31914e-2  5.87063e-1  1.53977e-2  
3.63078e+6  3.71535e+6  4.97887e-1  1.34427e-2  5.77745e-1  1.55988e-2  
3.71535e+6  3.80189e+6  4.68844e-1  1.31494e-2  5.41210e-1  1.51790e-2  
3.80189e+6  3.89045e+6  4.75169e-1  1.28698e-2  5.45665e-1  1.47792e-2  
3.89045e+6  3.98107e+6  4.85449e-1  1.31646e-2  5.54494e-1  1.50370e-2  
3.98107e+6  4.07380e+6  4.86035e-1  1.32144e-2  5.52273e-1  1.50153e-2  
4.07380e+6  4.16869e+6  4.75989e-1  1.29391e-2  5.38949e-1  1.46506e-2  
4.16869e+6  4.26580e+6  4.99700e-1  1.42107e-2  5.63926e-1  1.60372e-2  
4.26580e+6  4.36516e+6  4.92127e-1  1.45147e-2  5.53492e-1  1.63245e-2  
4.36516e+6  4.46684e+6  4.84617e-1  1.41820e-2  5.43147e-1  1.58949e-2  
4.46684e+6  4.57088e+6  4.82450e-1  1.42199e-2  5.38230e-1  1.58640e-2  
4.57088e+6  4.67735e+6  5.21459e-1  1.57539e-2  5.77140e-1  1.74361e-2  
4.67735e+6  4.78630e+6  4.93487e-1  1.48146e-2  5.41590e-1  1.62587e-2  
4.78630e+6  4.89779e+6  5.24630e-1  1.66889e-2  5.70705e-1  1.81546e-2  
4.89779e+6  5.01187e+6  5.30996e-1  1.63908e-2  5.72070e-1  1.76586e-2  
5.01187e+6  5.12861e+6  5.08661e-1  1.68577e-2  5.43963e-1  1.80277e-2  
5.12861e+6  5.24807e+6  4.96830e-1  1.63092e-2  5.28221e-1  1.73397e-2  
5.24807e+6  5.37032e+6  5.35580e-1  1.75047e-2  5.65528e-1  1.84836e-2  
5.37032e+6  5.49541e+6  5.42456e-1  1.74620e-2  5.66549e-1  1.82376e-2  
5.49541e+6  5.62341e+6  5.51232e-1  1.85271e-2  5.72224e-1  1.92327e-2  
5.62341e+6  5.75440e+6  5.44591e-1  1.85684e-2  5.65540e-1  1.92826e-2  
5.75440e+6  5.88844e+6  5.44456e-1  1.82132e-2  5.69786e-1  1.90605e-2  
5.88844e+6  6.02560e+6  5.85762e-1  1.99591e-2  6.33149e-1  2.15737e-2  
6.02560e+6  6.16595e+6  5.98458e-1  1.94674e-2  6.78561e-1  2.20731e-2  
6.16595e+6  6.30957e+6  5.85744e-1  1.82894e-2  7.02433e-1  2.19330e-2  
6.30957e+6  6.45654e+6  5.92812e-1  1.77539e-2  7.55001e-1  2.26112e-2  
6.45654e+6  6.60693e+6  6.18347e-1  1.83418e-2  8.32554e-1  2.46957e-2  
6.60693e+6  6.76083e+6  6.37819e-1  1.86137e-2  8.99847e-1  2.62606e-2  
6.76083e+6  6.91831e+6  6.39651e-1  1.85857e-2  9.44201e-1  2.74347e-2  
6.91831e+6  7.07946e+6  6.35989e-1  1.80088e-2  9.80000e-1  2.77498e-2  
7.07946e+6  7.24436e+6  6.19826e-1  1.75658e-2  9.88374e-1  2.80103e-2  
7.24436e+6  7.41310e+6  5.79827e-1  1.62134e-2  9.55174e-1  2.67090e-2  
7.41310e+6  7.58578e+6  5.67275e-1  1.61219e-2  9.63075e-1  2.73705e-2  
7.58578e+6  7.94328e+6  5.69118e-1  1.15007e-2  9.91728e-1  2.00408e-2  
7.94328e+6  8.31764e+6  5.84191e-1  1.18769e-2  1.04365e+0  2.12180e-2  
8.31764e+6  8.70964e+6  5.76439e-1  1.19745e-2  1.03227e+0  2.14435e-2  
8.70964e+6  9.12011e+6  5.74150e-1  1.19793e-2  1.02372e+0  2.13595e-2  
9.12011e+6  9.54993e+6  5.67487e-1  1.19543e-2  1.00628e+0  2.11976e-2  
9.54993e+6  1.00000e+7  5.70709e-1  1.21759e-2  1.00614e+0  2.14656e-2  
1.00000e+7  1.04713e+7  5.84604e-1  1.29876e-2  1.02452e+0  2.27607e-2  
1.04713e+7  1.09648e+7  5.91690e-1  1.33167e-2  1.03074e+0  2.31980e-2  
1.09648e+7  1.14815e+7  5.93766e-1  1.36466e-2  1.02216e+0  2.34923e-2  
1.14815e+7  1.20226e+7  5.97867e-1  1.40127e-2  1.02374e+0  2.39941e-2  
1.20226e+7  1.25893e+7  5.57472e-1  1.28572e-2  9.87463e-1  2.27742e-2  
1.25893e+7  1.31826e+7  5.35393e-1  1.21036e-2  1.00024e+0  2.26123e-2  
1.31826e+7  1.38038e+7  5.37811e-1  1.18860e-2  1.06561e+0  2.35509e-2  
1.38038e+7  1.44544e+7  5.56144e-1  1.21625e-2  1.15498e+0  2.52586e-2  
1.44544e+7  1.51356e+7  5.79969e-1  1.24901e-2  1.22429e+0  2.63660e-2  
1.51356e+7  1.58489e+7  5.91125e-1  1.26218e-2  1.26500e+0  2.70105e-2  
1.58489e+7  1.65959e+7  6.16509e-1  1.30271e-2  1.31949e+0  2.78815e-2  
1.65959e+7  1.73780e+7  6.43284e-1  1.36653e-2  1.35123e+0  2.87041e-2  
1.73780e+7  1.81970e+7  6.55273e-1  1.39284e-2  1.35488e+0  2.87991e-2  
1.81970e+7  1.90546e+7  6.45776e-1  1.38472e-2  1.31896e+0  2.82822e-2  
1.90546e+7  1.99526e+7  6.73828e-1  1.43822e-2  1.36586e+0  2.91528e-2  
1.99526e+7  2.08930e+7  7.30066e-1  1.52888e-2  1.49649e+0  3.13390e-2  
2.08930e+7  2.18776e+7  7.46154e-1  1.52590e-2  1.56599e+0  3.20247e-2  
2.18776e+7  2.29087e+7  7.17571e-1  1.46496e-2  1.52655e+0  3.11653e-2  
2.29087e+7  2.51189e+7  7.35454e-1  9.33021e-3  1.55789e+0  1.97639e-2  
2.51189e+7  2.81838e+7  7.41050e-1  9.27755e-3  1.57314e+0  1.96949e-2  
2.81838e+7  3.16228e+7  7.79913e-1  9.64963e-3  1.66422e+0  2.05909e-2  

