# Eout Data Total
0.61534 0.31626 2.690054491834139
0.62833 0.32694 2.588663567476622
0.64174 0.3241 2.632309049455683
0.65558 0.33121 2.54443973055248
0.66988 0.34197 2.4239919103528553
0.68465 0.33755 2.3865073875249894
0.69991 0.34229 2.290146878363765
0.71569 0.33595 2.2800756131038185
0.73201 0.32853 2.3279473739354133
0.7489 0.33155 2.2683396453329676
0.76637 0.32818 2.2574055124188446
0.78446 0.32949 2.2222061961117148
0.80321 0.32697 2.233719580436642
0.82263 0.32461 2.2656839817102057
0.84277 0.32903 2.2563875743085826
0.86365 0.32904 2.2709477520650503
0.88533 0.3281 2.267013088322698
0.90783 0.32646 2.2621616188157723
0.93119 0.32717 2.2636680218122005
0.95548 0.32109 2.2761431459989985
0.98072 0.32682 2.2232514751389245
1.007 0.32468 2.2217527429901804
1.0343 0.31992 2.232759149255424
1.0628 0.31655 2.26855613529103
1.0924 0.31992 2.280064972136698
1.1233 0.31688 2.275891905816824
1.1556 0.31659 2.2675360630518453
1.1892 0.31822 2.2554535151882433
1.2244 0.3139 2.3073658170592304
1.2611 0.31129 2.2805720992059797
1.2995 0.30604 2.2911232523822695
1.3397 0.30365 2.3392021434519177
1.3817 0.29805 2.3564656331015756
1.4258 0.29 2.371056253362128
1.4721 0.2808 2.4462186646369646
1.5206 0.27786 2.5997205322324177
1.5716 0.28325 2.424469730154227
1.6249 0.26796 2.466453108819973
1.6252 0.27032 2.4367164289867373
1.6527 0.26708 2.496792017932874
1.6813 0.26702 2.5304873740627936
1.7106 0.26453 2.521921467124583
1.7406 0.26119 2.5351871049527244
1.7715 0.25802 2.57026875419796
1.8032 0.25443 2.6194698025943848
1.8357 0.25036 2.6195960900014654
1.8692 0.24734 2.6316070569343437
1.9035 0.24344 2.6691910398136147
1.9388 0.24065 2.714872553833942
1.9751 0.23663 2.7601461347166003
2.0125 0.23105 2.763191780603435
2.0509 0.22656 2.8132903315785778
2.0904 0.2216 2.860190724306873
2.1311 0.21917 2.9156783812142217
2.173 0.214 2.979527639001893
2.2161 0.21048 3.038473851499467
2.2605 0.20679 3.0796012149642573
2.3063 0.20378 3.134226912444351
2.3535 0.19701 3.192916570609431
2.4021 0.18942 3.261168317549803
2.4523 0.1828 3.332006317574867
2.5078 0.17742 3.633907606962352
2.5614 0.17536 3.7119947054523865
2.6166 0.16842 3.778999839455642
2.6737 0.16526 3.8375752791939277
2.7327 0.15959 3.9268950213319602
2.7937 0.15652 4.038825662725751
2.8567 0.15544 4.130259466916708
2.9219 0.15308 4.235111297265432
2.9893 0.1384 4.4243521517363265
3.0591 0.13339 4.564842256356592
3.1314 0.13224 4.651508036033497
3.2063 0.12772 4.785702175803468
3.2839 0.12411 4.911192213639341
3.3644 0.12041 5.059443713250909
3.4478 0.11394 5.24197753172623
3.5344 0.10731 5.428329004454139
3.6244 0.10065 5.630028957698297
3.7178 0.094343 5.851255321807716
3.8149 0.088513 6.068837023491607
3.9158 0.081404 6.281478626869109
4.0131 0.077278 6.385198960833613
4.1221 0.070965 6.656499334688766
4.2356 0.06612 6.940260123906143
4.3538 0.061792 7.233150924645739
4.4771 0.057965 7.549425943681765
4.6057 0.053885 7.892239632036501
4.74 0.049717 8.26058907224275
4.8802 0.045977 8.629859970543619
5.0268 0.042228 9.034983335599707
5.18 0.038516 9.474282470144226
5.3405 0.034576 9.929256253289877
5.5085 0.031568 10.421584731309903
5.6846 0.027696 10.949047201685929
5.8693 0.024884 11.503367587596463
6.0631 0.022045 12.115808574518066
6.2668 0.019286 12.779520245665928
6.481 0.016907 13.466927639589258
6.7063 0.014542 14.220296179423888
6.9437 0.012097 15.036097241270397
7.1939 0.010245 15.903019755110275
7.458 0.0087708 16.83734864261457
7.737 0.0072576 17.840703559939364
8.0319 0.0059921 18.934126608576577
8.3442 0.0047925 20.10637897067752
8.6751 0.0038959 21.380457698154245
8.7852 0.0035522 21.88956410721661
8.9615 0.0031732 22.591089508908087
9.1431 0.0026999 23.325144309269664
9.3303 0.0023706 24.079127498584217
9.5234 0.0022017 24.866875810983736
9.7226 0.0018483 25.706465656371773
9.9281 0.0017032 26.55723256607073
10.14 0.0013954 27.46037371900847
10.359 0.0012361 28.409068997348403
10.586 0.0010861 29.39290413521362
10.819 0.00086676 30.441102380517375
11.061 0.00076345 31.511589533498697
11.311 0.00067743 32.6173133334392
11.569 0.00056125 33.800450192541355
11.837 0.00045911 35.0581617365262
12.114 0.00039852 36.340887179892604
