
#EN         EN-RSL-HW  DATA      1ERR-T     1ERR-S     1ERR-SYS   ERR-1      ERR-2                                               
#MEV        MEV        MB         MB         MB         MB        PER-CENT   PER-CENT                                                   
  29.22      0.71      2175.      125.        76.        99.      4.5        0.000                                                        
  30.68      0.75      2131.      121.        73.        97.      4.5        0.000                                                       
  32.21      0.79      2158.      123.        74.        98.      4.5        0.000                                                        
  33.82      0.83      2174.      113.        51.       101.      4.6        0.000                                                        
  35.51      0.87      2087.      108.        49.        97.      4.6        0.000                                                        
  37.29      0.91      2105.      110.        51.        97.      4.6        0.000                                                        
  39.16      0.95      1987.      105.        50.        92.      4.1        2.1                                                          
  41.12      1.01      1968.      105.        51.        91.      4.1        2.1                                                          
  43.17      1.05      1962.      106.        54.        91.      4.1        2.1                                                           
  45.33      1.11      2025.      104.        43.        94.      4.1        2.1                                                  
  47.59      1.16      2034.      105.        47.        94.      4.1        2.1                                                           
  49.97      1.22      1880.       98.        45.        87.      4.1        2.1                                                  
  52.73      1.54      1946.      100.        43.        90.      4.2        1.9                                                  
  55.89      1.63      1894.       99.        45.        88.      4.2        1.9                                               
  59.25      1.73      1870.       99.        48.        87.      4.2        1.9                                           
  62.80      1.83      1829.       99.        51.        85.      4.2        1.9                                       
  66.57      1.94      1805.      100.        53.        84.      4.2        1.9                                         
  70.57      2.06      1769.       99.        55.        83.      4.3        1.9                                    
  74.80      2.18      1717.       99.        58.        80.      4.3        1.9                                     
  79.28      2.31      1761.      103.        63.        82.      4.3        1.9                                       
  84.04      2.45      1697.      101.        62.        79.      4.3        1.9                                         
  89.09      2.60      1685.      105.        70.        79.      4.3        1.9                              
  94.43      2.75      1586.      100.        66.        74.      4.3        1.9                               
 100.10      2.92      1569.      107.        79.        72.      4.2        1.9                            
 106.62      3.61      1591.      127.       105.        72.      4.2        1.7                           
 114.08      3.86      1516.      125.       104.        69.      4.2        1.7                      
 122.06      4.13      1498.      135.       116.        68.      4.2        1.7                           
 130.61      4.42      1454.      122.       102.        66.      4.2        1.7                 
 139.75      4.72      1498.      131.       111.        69.      4.2        1.7                                                                 
