#EN-MIN      EN-MAX      DATA        ERR-S       
#EV          EV          NO-DIM      NO-DIM      
1.99526e-2  2.23872e-2  4.1095      0.0163017   
2.23872e-2  2.51189e-2  4.09325     0.0153277   
2.51189e-2  2.81838e-2  4.07345     0.0145573   
2.81838e-2  3.16228e-2  4.10053     0.0138199   
3.16228e-2  3.54813e-2  4.06644     0.0132599   
3.54813e-2  3.98107e-2  4.10183     0.0129855   
3.98107e-2  4.46684e-2  4.09247     0.0126046   
4.46684e-2  5.01187e-2  4.06481     0.0123839   
5.01187e-2  5.62341e-2  4.10015     0.012247    
5.62341e-2  6.30957e-2  4.07296     0.0120968   
6.30957e-2  7.07946e-2  4.08936     0.0121941   
7.07946e-2  7.94328e-2  4.10152     0.0123397   
7.94328e-2  8.91251e-2  4.09514     0.0125422   
8.91251e-2  1.00000e-1  4.07504     0.0127731   
1.00000e-1  1.12202e-1  4.08264     0.0131162   
1.12202e-1  1.25893e-1  4.10233     0.0135203   
1.25893e-1  1.41254e-1  4.09825     0.0138541   
1.41254e-1  1.58489e-1  4.09785     0.0141532   
1.58489e-1  1.77828e-1  4.10417     0.0144532   
1.77828e-1  1.99526e-1  4.07712     0.0145998   
1.99526e-1  2.23872e-1  4.09336     0.0148476   
2.23872e-1  2.51189e-1  4.08068     0.0149455   
2.51189e-1  2.81838e-1  4.09817     0.0151224   
2.81838e-1  3.16228e-1  4.09044     0.0151873   
3.16228e-1  3.54813e-1  4.12081     0.0153616   
3.54813e-1  3.98107e-1  4.10646     0.0154219   
3.98107e-1  4.46684e-1  4.08544     0.0155204   
4.46684e-1  5.01187e-1  4.12438     0.0158419   
5.01187e-1  5.62341e-1  4.09163     0.0160266   
5.62341e-1  6.30957e-1  4.07617     0.0162646   
6.30957e-1  7.07946e-1  4.0614      0.0164922   
7.07946e-1  7.94328e-1  4.09615     0.0168198   
7.94328e-1  8.91251e-1  4.13115     0.0171645   
8.91251e-1  1.00000e+0  4.11487     0.0174186   
1.00000e+0  1.12202e+0  4.11101     0.0177049   
1.12202e+0  1.25893e+0  4.09069     0.0179412   
1.25893e+0  1.41254e+0  4.09158     0.018276    
1.41254e+0  1.58489e+0  4.109       0.0186616   
1.58489e+0  1.77828e+0  4.08182     0.0189083   
1.77828e+0  1.99526e+0  4.09918     0.0193494   
1.99526e+0  2.23872e+0  4.12025     0.0197776   
2.23872e+0  2.51189e+0  4.11052     0.020167    
2.51189e+0  2.81838e+0  4.06819     0.0203857   
2.81838e+0  3.16228e+0  4.05798     0.0207725   
3.16228e+0  3.54813e+0  4.10604     0.0214018   
3.54813e+0  3.98107e+0  4.08582     0.0217533   
3.98107e+0  4.46684e+0  4.09418     0.0222541   
4.46684e+0  5.01187e+0  4.12669     0.0228594   
5.01187e+0  5.62341e+0  4.0891      0.0231741   
5.62341e+0  6.30957e+0  4.11834     0.0238076   
6.30957e+0  7.07946e+0  4.06917     0.0240851   
7.07946e+0  7.94328e+0  4.12278     0.0248581   
