#EN-MIN      EN-MAX      DATA        ERR-S       
#EV          EV          NO-DIM      NO-DIM      
7.94328e+0  8.91251e+0  4.07202     0.025235    
8.91251e+0  1.00000e+1  4.09667     0.0259721   
1.00000e+1  1.12202e+1  4.09771     0.0265702   
1.12202e+1  1.25893e+1  4.12076     0.0273511   
1.25893e+1  1.41254e+1  4.07251     0.0276643   
1.41254e+1  1.58489e+1  4.10857     0.0284958   
1.58489e+1  1.77828e+1  4.12068     0.0292538   
1.77828e+1  1.99526e+1  4.08267     0.0297831   
1.99526e+1  2.23872e+1  4.14514     0.0308717   
2.23872e+1  2.51189e+1  4.05203     0.0311345   
2.51189e+1  2.81838e+1  4.07889     0.0319984   
2.81838e+1  3.16228e+1  4.11647     0.0329649   
3.16228e+1  3.54813e+1  4.05363     0.0335153   
3.54813e+1  3.98107e+1  4.07734     0.0345385   
3.98107e+1  4.46684e+1  4.07578     0.0353615   
4.46684e+1  5.01187e+1  4.0959      0.0363216   
5.01187e+1  5.62341e+1  4.11574     0.0373882   
5.62341e+1  6.30957e+1  4.05065     0.0378622   
6.30957e+1  7.07946e+1  4.12877     0.0394062   
7.07946e+1  7.94328e+1  4.04135     0.0397922   
7.94328e+1  8.91251e+1  3.99807     0.0405451   
8.91251e+1  1.00000e+2  4.03361     0.0418803   
1.00000e+2  1.12202e+2  4.10311     0.0434162   
1.12202e+2  1.25893e+2  4.11686     0.044689    
1.25893e+2  1.41254e+2  4.06749     0.0455713   
1.41254e+2  1.58489e+2  4.03861     0.0465332   
1.58489e+2  1.77828e+2  4.05955     0.0478382   
1.77828e+2  1.99526e+2  4.11615     0.0495948   
1.99526e+2  2.23872e+2  4.12518     0.0511907   
2.23872e+2  2.51189e+2  4.06215     0.0517182   
2.51189e+2  2.81838e+2  4.165       0.0539927   
2.81838e+2  3.16228e+2  4.0884      0.0545837   
3.16228e+2  3.54813e+2  4.15371     0.0625627   
3.54813e+2  3.98107e+2  4.12243     0.0599407   
3.98107e+2  4.46684e+2  4.01251     0.0586856   
4.46684e+2  5.01187e+2  4.1273      0.0613648   
5.01187e+2  5.62341e+2  4.02913     0.0617171   
5.62341e+2  6.30957e+2  4.07067     0.0637132   
6.30957e+2  7.07946e+2  4.09719     0.0659056   
7.07946e+2  7.94328e+2  4.03051     0.0670481   
7.94328e+2  8.91251e+2  4.07574     0.0684366   
8.91251e+2  1.00000e+3  4.04504     0.0702692   
1.00000e+3  1.12202e+3  3.93327     0.0725346   
1.12202e+3  1.25893e+3  4.06896     0.0753965   
1.25893e+3  1.41254e+3  3.99811     0.0765324   
1.41254e+3  1.58489e+3  4.07779     0.0791268   
1.58489e+3  1.77828e+3  3.99905     0.0806178   
1.77828e+3  1.99526e+3  3.97842     0.0833454   
1.99526e+3  2.23872e+3  4.1987      0.0913614   
2.23872e+3  2.51189e+3  4.01907     0.0931192   
2.51189e+3  2.81838e+3  4.28244     0.0965371   
2.81838e+3  3.16228e+3  4.02945     0.0939993   
3.16228e+3  3.54813e+3  4.08556     0.0967416   
3.54813e+3  3.98107e+3  3.94465     0.0965284   
3.98107e+3  4.46684e+3  3.97584     0.0991273   
4.46684e+3  5.01187e+3  3.99546     0.102553    
5.01187e+3  5.62341e+3  4.02897     0.104044    
5.62341e+3  6.30957e+3  4.18161     0.113946    
6.30957e+3  7.07946e+3  4.05404     0.110007    
7.07946e+3  7.94328e+3  4.04745     0.114186    
7.94328e+3  8.91251e+3  4.1285      0.117927    
8.91251e+3  1.00000e+4  3.98832     0.116766    
1.00000e+4  1.12202e+4  3.81939     0.117186    
1.12202e+4  1.25893e+4  3.74531     0.118108    
1.25893e+4  1.41254e+4  3.75627     0.120732    
1.41254e+4  1.58489e+4  3.96081     0.126945    
1.58489e+4  1.77828e+4  3.94389     0.128806    
1.77828e+4  1.99526e+4  3.89501     0.129664    
1.99526e+4  2.23872e+4  3.88154     0.130946    
2.23872e+4  2.51189e+4  3.98075     0.134179    
2.51189e+4  2.81838e+4  4.05864     0.136371    
2.81838e+4  3.16228e+4  4.06864     0.134463    
3.16228e+4  3.54813e+4  3.79613     0.163034    
3.54813e+4  3.98107e+4  3.74992     0.172382    
3.98107e+4  4.46684e+4  3.88048     0.154246    
4.46684e+4  5.01187e+4  3.75919     0.145609    
5.01187e+4  5.62341e+4  3.89234     0.146676    
5.62341e+4  6.30957e+4  3.45039     0.132449    
6.30957e+4  7.07946e+4  3.63312     0.133228    
7.07946e+4  7.94328e+4  3.41154     0.124882    
7.94328e+4  8.91251e+4  3.42545     0.151107    
8.91251e+4  1.00000e+5  3.25091     0.142315    
1.00000e+5  1.12202e+5  3.18184     0.119635    
1.12202e+5  1.25893e+5  2.6875      0.100844    
1.25893e+5  1.41254e+5  2.24981     0.0790454   
1.41254e+5  1.58489e+5  1.82659     0.0760396   
1.58489e+5  1.77828e+5  1.45539     0.0546987   

